,scores
1902,28.0659999847
1903,28.0659999847
1904,28.0659999847
1934,28.0659999847
1935,27.4769992828
2592,30.4060001373
2593,30.4060001373
2594,30.4060001373
2655,54.9539985657
3134,33.6469993591
3135,33.6469993591
3136,33.6469993591
3137,26.702999115
3163,27.079000473
3164,36.1049995422
3165,36.1049995422
3166,36.1049995422
3167,31.0149993896
3193,29.1930007935
3194,36.1049995422
3195,36.1049995422
3196,36.1049995422
3197,31.0149993896
3223,30.533000946
3224,36.1049995422
3225,36.1049995422
3226,36.1049995422
3227,31.0149993896
3253,33.1310005188
3254,33.1310005188
3255,33.1310005188
3256,32.1020011902
3282,33.0489997864
3283,33.1310005188
3284,33.1310005188
3285,33.1310005188
3312,33.0489997864
3313,33.1310005188
3314,33.1310005188
3315,33.1310005188
3345,29.6219997406
3825,28.9650001526
3826,28.9650001526
3827,28.9650001526
3854,39.3989982605
3855,39.3989982605
3856,39.3989982605
3857,29.5009994507
3858,29.5009994507
3884,39.3989982605
3885,39.3989982605
3886,39.3989982605
3887,36.4109992981
3888,29.5009994507
3913,30.6469993591
3914,39.3989982605
3915,39.3989982605
3916,39.3989982605
3917,36.4109992981
3918,29.5009994507
3943,34.311000824
3944,37.0719985962
3945,37.0719985962
3946,37.0719985962
3947,36.4109992981
3972,29.8990001678
3973,34.311000824
3974,34.311000824
3975,34.311000824
3976,32.1020011902
4002,33.0489997864
4003,34.311000824
4004,34.311000824
4005,34.311000824
4006,31.2380008698
4036,29.6870002747
4066,29.6870002747
4096,27.031999588
4545,34.8810005188
4546,34.8810005188
4547,34.8810005188
4548,25.1529998779
4574,39.3989982605
4575,39.3989982605
4576,39.3989982605
4577,34.8810005188
4578,30.3740005493
4604,39.3989982605
4605,39.3989982605
4606,39.3989982605
4607,36.4109992981
4608,30.3740005493
4631,32.1819992065
4632,32.1819992065
4633,32.1819992065
4634,39.3989982605
4635,39.3989982605
4636,39.3989982605
4637,36.4109992981
4638,30.3740005493
4661,32.1819992065
4662,32.1819992065
4663,34.311000824
4664,37.0719985962
4665,37.0719985962
4666,37.0719985962
4667,36.4109992981
4668,30.1459999084
4691,32.1819992065
4692,32.1819992065
4693,34.311000824
4694,34.311000824
4695,34.311000824
4696,32.1020011902
4697,29.0119991302
4722,33.0489997864
4723,34.311000824
4724,34.311000824
4725,34.311000824
4726,31.9440002441
4727,29.0119991302
4755,33.8450012207
4756,31.9440002441
4757,29.0119991302
4785,33.8450012207
4786,30.8819999695
4815,33.8450012207
4816,29.2000007629
5149,26.9160003662
5179,26.9160003662
5180,26.8330001831
5206,31.3969993591
5207,31.3969993591
5208,31.3969993591
5209,27.7779998779
5210,27.7779998779
5238,28.5979995728
5239,27.7779998779
5240,27.7779998779
5265,34.8810005188
5266,34.8810005188
5267,34.8810005188
5269,27.7779998779
5270,27.7779998779
5294,39.3989982605
5295,39.3989982605
5296,39.3989982605
5297,34.8810005188
5298,30.3740005493
5299,27.9479999542
5321,29.2919998169
5322,32.9889984131
5323,33.4420013428
5324,39.3989982605
5325,39.3989982605
5326,39.3989982605
5327,36.4109992981
5329,27.9479999542
5351,32.1819992065
5352,32.9889984131
5353,33.4420013428
5354,39.3989982605
5355,39.3989982605
5356,39.3989982605
5357,36.4109992981
5359,27.9479999542
5380,27.218000412
5381,32.1819992065
5382,32.9889984131
5383,34.311000824
5384,37.0719985962
5385,37.0719985962
5386,37.0719985962
5387,36.4109992981
5410,29.2870006561
5411,32.1819992065
5412,32.1969985962
5413,34.311000824
5414,34.311000824
5415,34.311000824
5416,31.9440002441
5443,34.311000824
5444,34.311000824
5445,34.311000824
5446,31.9440002441
5475,33.8450012207
5476,31.9440002441
5505,33.8450012207
5506,31.4610004425
5535,33.8450012207
5536,31.4610004425
5612,29.2759990692
5642,29.2759990692
5672,29.2759990692
5869,29.4990005493
5870,26.1140003204
5899,29.6989994049
5900,29.6989994049
5901,29.6989994049
5902,28.2569999695
5928,31.3969993591
5929,29.6989994049
5930,29.6989994049
5931,29.6989994049
5932,28.2569999695
5959,29.6989994049
5960,29.6989994049
5961,29.6989994049
5962,28.2569999695
5985,34.8810005188
5986,34.8810005188
5987,34.8810005188
6013,32.7459983826
6015,34.8810005188
6016,34.8810005188
6017,34.8810005188
6041,29.2919998169
6042,32.9889984131
6043,33.84400177
6044,33.84400177
6045,34.8810005188
6046,34.8810005188
6047,34.8810005188
6071,32.1819992065
6072,36.6329994202
6073,36.6329994202
6074,36.6329994202
6075,33.84400177
6100,27.218000412
6101,32.1819992065
6102,36.6329994202
6103,36.6329994202
6104,36.6329994202
6105,33.84400177
6130,29.2870006561
6131,33.3860015869
6132,36.6329994202
6133,36.6329994202
6134,36.6329994202
6135,33.2779998779
6161,33.3860015869
6162,35.5299987793
6163,35.5299987793
6164,35.5299987793
6195,33.8450012207
6225,33.8450012207
6255,33.8450012207
6256,31.4610004425
6302,27.3409996033
6303,37.8040008545
6304,37.8040008545
6305,37.8040008545
6332,29.2759990692
6333,37.8040008545
6334,37.8040008545
6335,37.8040008545
6362,29.2759990692
6363,37.8040008545
6364,37.8040008545
6365,37.8040008545
6392,29.2759990692
6562,26.732000351
6563,26.732000351
6564,26.732000351
6592,31.6040000916
6593,31.6040000916
6594,31.6040000916
6595,26.3330001831
6622,31.6040000916
6623,31.6040000916
6624,31.6040000916
6625,26.3330001831
6652,31.6040000916
6653,31.6040000916
6654,31.6040000916
6655,26.3330001831
6683,26.0259990692
6684,26.0259990692
6685,26.0259990692
6702,34.7770004272
6703,34.7770004272
6704,34.7770004272
6732,34.7770004272
6733,34.7770004272
6734,34.7770004272
6761,29.2919998169
6762,34.7770004272
6763,34.9980010986
6764,34.9980010986
6765,34.9980010986
6791,29.4629993439
6792,36.6329994202
6793,36.6329994202
6794,36.6329994202
6795,34.9980010986
6820,27.218000412
6821,31.0240001678
6822,36.6329994202
6823,36.6329994202
