,scores
1029,30.6280002594
1030,30.6280002594
1031,30.6280002594
1048,30.6280002594
1049,30.6280002594
1050,30.6280002594
1067,30.6280002594
1068,30.6280002594
1069,30.6280002594
1776,30.4459991455
1777,29.8439998627
1797,35.0530014038
1798,35.0530014038
1799,35.0530014038
1800,33.4370002747
1801,27.6140003204
1816,40.422000885
1817,40.422000885
1818,40.422000885
1819,38.4609985352
1820,31.1959991455
1821,24.4780006409
1835,40.422000885
1836,40.422000885
1837,40.422000885
1838,38.4609985352
1839,31.1959991455
1840,24.4780006409
1854,40.422000885
1855,40.422000885
1856,40.422000885
1857,38.4609985352
1858,31.1959991455
1859,24.4780006409
2135,33.4609985352
2136,33.4609985352
2137,33.4609985352
2154,33.4609985352
2155,33.4609985352
2156,33.4609985352
2158,32.3790016174
2159,36.3240013123
2160,36.3240013123
2161,36.3240013123
2162,28.8829994202
2173,33.4609985352
2174,33.4609985352
2175,33.4609985352
2176,31.8120002747
2177,41.1570014954
2178,41.1570014954
2179,41.1570014954
2180,37.2579994202
2181,31.9090003967
2195,32.641998291
2196,45.90599823
2197,45.90599823
2198,45.90599823
2199,40.3030014038
2200,32.9980010986
2215,45.90599823
2216,45.90599823
2217,45.90599823
2218,40.3030014038
2219,32.9980010986
2234,45.90599823
2235,45.90599823
2236,45.90599823
2237,40.3030014038
2238,32.9980010986
2438,32.7019996643
2439,32.7019996643
2440,32.7019996643
2457,32.7019996643
2458,32.7019996643
2459,32.7019996643
2476,33.6800003052
2477,33.6800003052
2478,33.6800003052
2495,33.6800003052
2496,33.6800003052
2497,33.6800003052
2514,33.6800003052
2515,33.6800003052
2516,33.6800003052
2517,33.4609985352
2534,33.4609985352
2535,33.4609985352
2536,33.4609985352
2538,32.3790016174
2539,36.3240013123
2540,36.3240013123
2541,36.3240013123
2553,33.4609985352
2554,33.4609985352
2555,33.4609985352
2556,34.5029983521
2557,43.0229988098
2558,45.188999176
2559,45.188999176
2560,45.188999176
2561,37.0960006714
2575,34.5029983521
2576,45.90599823
2577,46.4990005493
2578,46.4990005493
2579,46.4990005493
2580,37.0960006714
2594,34.5029983521
2595,45.90599823
2596,46.4990005493
2597,46.4990005493
2598,46.4990005493
2599,37.0960006714
2614,45.90599823
2615,46.4990005493
2616,46.4990005493
2617,46.4990005493
2618,36.8009986877
2799,55.736000061
2800,55.736000061
2801,55.736000061
2818,65.4039993286
2819,65.4039993286
2820,65.4039993286
2837,32.7019996643
2838,32.7019996643
2839,32.7019996643
2856,33.6800003052
2857,33.6800003052
2858,33.6800003052
2875,33.6800003052
2876,33.6800003052
2877,33.6800003052
2894,33.6800003052
2895,33.6800003052
2896,33.6800003052
2897,33.4609985352
2916,33.4609985352
2918,32.3790016174
2919,36.3240013123
2920,36.3240013123
2921,36.3240013123
2935,33.4609985352
2936,34.5029983521
2937,43.0229988098
2938,45.188999176
2939,45.188999176
2940,45.188999176
2941,37.0960006714
2956,45.90599823
2957,46.4990005493
2958,46.4990005493
2959,46.4990005493
2960,37.0960006714
2975,45.90599823
2976,46.4990005493
2977,46.4990005493
2978,46.4990005493
2979,37.0960006714
2994,45.90599823
2995,46.4990005493
2996,46.4990005493
2997,46.4990005493
2998,36.8009986877
3179,55.736000061
