mol_id,atom_id,score
A:ORO1,N1,3.74300003052
A:ORO1,C2,5.19500017166
A:ORO1,O3,10.1029996872
A:ORO1,N4,8.6219997406
A:ORO1,C5,5.19500017166
A:ORO1,O6,7.00899982452
A:ORO1,C7,5.19500017166
A:ORO1,C8,2.77500009537
A:ORO1,C9,0.0
A:ORO1,O10,0.0
A:ORO1,O11,0.0
A:ACY2,C1,0.0
A:ACY2,O2,0.0
A:ACY2,O3,0.0
A:ACY2,C4,0.0
A:SO43,S1,0.0
A:SO43,O2,0.0
A:SO43,O3,0.0
A:SO43,O4,0.0
A:SO43,O5,0.0
A:BCE397,C1,17.4270000458
A:BCE397,C2,16.9869995117
A:BCE397,C3,16.9479999542
A:BCE397,C4,17.0
A:BCE397,C5,17.5820007324
A:BCE397,C6,17.6590003967
A:BCE397,C7,17.8309993744
A:BCE397,C8,18.0540008545
A:BCE397,C9,18.0540008545
A:BCE397,C10,18.0540008545
A:BCE397,C11,18.0540008545
A:BCE397,C12,18.0540008545
A:BCE397,N13,0.0
A:BCE397,C14,18.0540008545
A:BCE397,O15,16.8369998932
A:BCE397,C16,17.5900001526
A:BCE397,C17,17.5900001526
A:BCE397,N18,0.0
A:BCE397,C19,18.0540008545
A:BCE397,C20,17.513999939
A:BCE397,O21,19.7910003662
A:FMN398,N1,2.23699998856
A:FMN398,C2,5.19500017166
A:FMN398,O3,0.0
A:FMN398,N4,0.0
A:FMN398,C5,5.19500017166
A:FMN398,O6,0.0
A:FMN398,C7,5.19500017166
A:FMN398,N8,0.0
A:FMN398,C9,0.0
A:FMN398,C10,0.0
A:FMN398,C11,0.0
A:FMN398,C12,0.0
A:FMN398,C13,14.7030000687
A:FMN398,C14,20.3059997559
A:FMN398,C15,15.1099996567
A:FMN398,C16,0.0
A:FMN398,N17,23.9419994354
A:FMN398,C18,4.38000011444
A:FMN398,C19,26.7329998016
A:FMN398,C20,27.7299995422
A:FMN398,O21,27.7900009155
A:FMN398,C22,27.7299995422
A:FMN398,O23,24.8309993744
A:FMN398,C24,27.7299995422
A:FMN398,O25,18.9500007629
A:FMN398,C26,27.7299995422
A:FMN398,O27,28.3859996796
A:FMN398,P28,27.7299995422
A:FMN398,O29,33.6870002747
A:FMN398,O30,20.3869991302
A:FMN398,O31,29.8789997101
A:ACY399,C1,14.8529996872
A:ACY399,O2,11.5679998398
A:ACY399,O3,14.6129999161
A:ACY399,C4,14.8529996872
