mol_id,atom_id,score
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,CB,None
protein,CG,None
protein,CD,None
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,CB,None
protein,CG1,None
protein,CG2,None
protein,CD1,None
protein,N,None
protein,CA,0.0
protein,C,0.0
protein,O,0.0
protein,CB,0.0
protein,CG,0.0
protein,CD,0.0
protein,OE1,None
protein,OE2,0.0
protein,N,None
protein,CA,0.0
protein,C,0.0
protein,O,0.0
protein,CB,0.0
protein,OG1,None
protein,CG2,0.0
protein,N,None
protein,CA,0.0
protein,C,0.0
protein,O,None
protein,CB,0.0
protein,CG1,0.0
protein,CG2,0.0
protein,N,0.0
protein,CA,0.0
protein,C,0.0
protein,O,0.0
protein,CB,0.0
protein,CG,4.28700017929
protein,CD,0.0
protein,N,None
protein,CA,0.0
protein,C,0.0
protein,O,None
protein,CB,0.0
protein,CG1,0.0
protein,CG2,0.0
protein,N,0.0
protein,CA,0.0
protein,C,0.0
protein,O,0.0
protein,CB,0.0
protein,CG,8.69299983978
protein,CD,7.6139998436
protein,CE,21.7590007782
protein,NZ,None
protein,N,None
protein,CA,0.0
protein,C,0.0
protein,O,22.7910003662
protein,CB,0.0
protein,CG,0.0
protein,CD1,0.0
protein,CD2,0.0
protein,N,None
protein,CA,0.0
protein,C,5.89099979401
protein,O,None
protein,CB,0.0
protein,CG,1.23699998856
protein,CD,0.0
protein,CE,0.0
protein,NZ,0.0
protein,N,13.279999733
protein,CA,11.8859996796
protein,C,0.0
protein,O,None
protein,CB,11.1120004654
protein,CG,16.329000473
protein,CD,20.8899993896
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,CB,None
protein,CG,None
protein,SD,None
protein,CE,None
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,CB,None
protein,CG,None
protein,OD1,None
protein,OD2,None
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,N,None
protein,CA,None
protein,C,None
protein,O,None
protein,CB,None
protein,CG,None
