mol_id,atom_id,score
A:CBN1,C1,16.4130001068
A:CBN1,C2,13.6169996262
A:CBN1,C3,11.7460002899
A:CBN1,C4,16.4130001068
A:CBN1,C5,16.6630001068
A:CBN1,C6,15.2469997406
A:CBN1,C7,13.8050003052
A:CBN1,C8,13.6169996262
A:CBN1,Cl9,11.8529996872
A:CBN1,C10,11.7779998779
A:CBN1,C11,12.1140003204
A:CBN1,C12,6.71999979019
A:CBN1,C13,0.0
A:CBN1,C14,0.0
A:CBN1,C15,0.0
A:CBN1,C16,0.0
A:CBN1,C17,2.02999997139
A:CBN1,C18,6.62400007248
A:CBN1,C19,0.0
A:CBN1,C20,0.0
A:CBN1,C21,0.0
A:CBN1,C22,0.0
A:CBN1,C23,0.0
A:CBN1,C24,0.0
A:CBN1,C25,0.0
A:CBN1,C26,0.0
A:CBN1,C27,0.0
A:CBN1,C28,0.0
A:CBN1,C29,0.0
A:CBN1,C30,0.0
A:CBN1,N31,0.0
A:CBN1,O32,0.0
A:CBN1,O33,0.0
A:CBN1,O34,0.0
A:CBN1,O35,0.0
A:CBN1,O36,0.0
A:CBN1,O37,0.0
A:CBN1,O38,0.0
A:CBN1,O39,0.0
A:CBN1,O40,0.0
A:CBN1,C41,18.1000003815
A:CBN1,C42,18.1000003815
A:CBN1,C43,18.1000003815
A:CBN1,N44,0.0
A:CBN1,C45,18.1000003815
A:CBN1,C46,18.1000003815
A:CBN1,C47,18.1000003815
A:CBN1,O48,13.5600004196
A:CBN1,O49,0.0
