,scores
908,13.4379997253
909,13.4379997253
930,13.4379997253
952,13.4379997253
953,15.4420003891
954,15.4420003891
975,15.4420003891
976,15.4420003891
997,15.4420003891
998,15.4420003891
1301,11.6560001373
1302,11.6560001373
1303,11.6560001373
1323,12.0150003433
1324,12.0550003052
1325,12.0550003052
1326,13.4379997253
1327,13.4379997253
1345,12.0150003433
1346,12.0550003052
1347,12.3330001831
1348,13.4379997253
1367,12.0150003433
1368,12.0550003052
1369,13.9989995956
1370,13.9989995956
1371,15.4420003891
1372,15.4420003891
1391,13.9989995956
1392,15.6520004272
1393,15.6520004272
1394,15.6520004272
1413,13.9989995956
1414,15.6520004272
1415,15.6520004272
1416,15.6520004272
1436,15.6520004272
1437,15.6520004272
1438,15.6520004272
1718,10.5500001907
1719,11.6560001373
1720,11.6560001373
1721,11.6560001373
1741,12.0150003433
1742,12.0550003052
1743,12.0550003052
1744,13.4379997253
1745,13.4379997253
1746,13.4379997253
1763,12.0150003433
1764,12.7370004654
1765,12.7370004654
1766,13.4379997253
1767,13.4379997253
1785,12.0150003433
1786,12.7370004654
1787,14.8330001831
1788,15.2989997864
1789,15.4420003891
1790,15.4420003891
1791,15.4420003891
1807,11.4750003815
1808,12.7370004654
1809,14.8330001831
1810,16.9050006866
1811,16.9050006866
1812,16.9050006866
1829,11.4750003815
1830,12.4659996033
1831,14.8330001831
1832,16.9050006866
1833,16.9050006866
1834,16.9050006866
1852,11.8090000153
1853,14.2430000305
1854,16.9050006866
1855,16.9050006866
1856,16.9050006866
1954,14.845000267
1974,15.8520002365
1975,15.8520002365
1976,15.8520002365
1996,15.888999939
1997,15.888999939
1998,15.888999939
1999,14.3540000916
2018,15.888999939
2019,15.888999939
2020,15.888999939
2021,14.3540000916
2040,15.888999939
2041,15.888999939
2042,15.888999939
2043,14.3540000916
2136,10.5500001907
2137,11.6560001373
2138,11.6560001373
2139,11.6560001373
2159,12.0150003433
2160,12.0550003052
2161,12.0550003052
2162,12.0550003052
2181,12.0150003433
2182,12.7370004654
2183,12.7370004654
2184,12.7370004654
2185,12.4469995499
2203,12.0150003433
2204,12.7370004654
2205,14.8330001831
2206,15.2989997864
2207,15.2989997864
2208,15.2989997864
2209,14.0740003586
2225,11.4750003815
2226,12.7370004654
2227,14.8330001831
2228,16.9050006866
2229,16.9050006866
2230,16.9050006866
2247,11.4750003815
