,scores
2279,7.03599977493
2280,7.03599977493
2281,7.03599977493
2314,7.03599977493
2315,7.03599977493
2316,7.03599977493
2349,7.03599977493
2350,7.03599977493
2351,7.03599977493
3117,6.97800016403
3118,6.97800016403
3119,8.38399982452
3120,8.38399982452
3121,8.38399982452
3152,6.97800016403
3153,8.98600006104
3154,8.98600006104
3155,8.98600006104
3156,8.38399982452
3157,8.38399982452
3158,8.38399982452
3159,8.38399982452
3187,6.97800016403
3188,8.98600006104
3189,8.98600006104
3190,8.98600006104
3191,8.38399982452
3192,8.38399982452
3193,8.38399982452
3194,8.38399982452
3222,6.48999977112
3223,8.98600006104
3224,8.98600006104
3225,8.98600006104
3227,8.38399982452
3228,8.38399982452
3229,8.38399982452
3258,6.42000007629
3259,6.42000007629
3260,6.42000007629
3419,6.30999994278
3420,6.30999994278
3421,6.30999994278
3829,8.27000045776
3830,10.6920003891
3831,10.6920003891
3832,10.6920003891
3864,8.27000045776
3865,10.6920003891
3866,10.6920003891
3867,10.6920003891
3899,8.27000045776
3900,10.6920003891
3901,10.6920003891
3902,10.6920003891
3959,6.13000011444
3960,6.13000011444
3961,6.68800020218
3962,6.68800020218
3963,6.68800020218
3992,6.97800016403
3993,6.97800016403
3994,11.6700000763
3995,12.5500001907
3996,12.5500001907
3997,12.5500001907
3998,9.24600028992
3999,8.07800006866
4027,7.49399995804
4028,9.22999954224
4029,11.6700000763
4030,12.5500001907
4031,12.5500001907
4032,12.5500001907
4033,11.6059999466
4034,11.6059999466
4062,7.49399995804
4063,9.22999954224
4064,11.6700000763
4065,12.5500001907
4066,12.5500001907
4067,12.5500001907
4068,11.6059999466
4069,11.6059999466
4097,7.49399995804
4098,9.22999954224
4099,10.4639997482
4100,10.718000412
4101,10.718000412
4102,11.6059999466
4103,11.6059999466
4104,11.6059999466
4133,8.35200023651
4134,8.66600036621
4135,10.718000412
4136,10.718000412
4137,10.718000412
4138,7.45800018311
4139,7.20200014114
4186,8.11200046539
4187,9.69799995422
4188,9.69799995422
