,scores
195,9.92099952698
196,9.92099952698
197,9.92099952698
203,11.4329996109
204,11.4329996109
210,11.1180000305
211,11.4329996109
212,11.4329996109
218,11.5799999237
219,13.0170001984
220,13.0170001984
226,11.5799999237
227,13.0170001984
228,13.0170001984
234,11.5799999237
235,13.0170001984
236,13.0170001984
237,13.0170001984
282,8.22999954224
283,9.92099952698
284,9.92099952698
285,9.92099952698
290,11.4630002975
291,11.4630002975
292,11.4630002975
298,14.3710002899
299,14.3710002899
300,14.3710002899
306,14.3710002899
307,15.9250001907
308,15.9250001907
309,15.9250001907
314,14.3710002899
315,15.9250001907
316,15.9250001907
317,15.9250001907
322,13.7600002289
323,15.9250001907
324,15.9250001907
325,15.9250001907
330,13.7600002289
331,13.7600002289
332,13.7600002289
370,8.22999954224
371,9.92099952698
372,9.92099952698
373,9.92099952698
378,11.4630002975
379,11.4630002975
380,11.4630002975
386,14.3710002899
387,14.3710002899
388,14.3710002899
394,14.3710002899
395,15.9250001907
396,15.9250001907
397,15.9250001907
402,14.3710002899
403,15.9250001907
404,15.9250001907
405,15.9250001907
410,14.0290002823
411,15.9250001907
412,15.9250001907
413,15.9250001907
418,13.8249998093
419,13.8249998093
420,13.8249998093
458,8.22999954224
459,9.84500026703
460,9.84500026703
461,9.84500026703
466,11.4630002975
467,11.4630002975
468,11.4630002975
469,11.4200000763
474,14.3710002899
475,14.3710002899
476,14.3710002899
477,14.1199998856
482,14.3710002899
483,15.9250001907
484,15.9250001907
485,15.9250001907
490,14.3710002899
491,15.9250001907
492,15.9250001907
493,15.9250001907
498,14.0290002823
499,15.9250001907
500,15.9250001907
501,15.9250001907
506,13.8249998093
507,13.8249998093
508,13.8249998093
547,7.78999996185
555,8.52999973297
556,8.52999973297
557,8.52999973297
563,10.8190002441
564,10.8190002441
565,10.8190002441
570,14.0290002823
571,14.0290002823
572,14.0290002823
578,14.0290002823
579,14.0290002823
580,14.0290002823
586,14.0290002823
587,14.0290002823
588,14.0290002823
594,13.8249998093
595,13.8249998093
596,13.8249998093
3041,9.83800029755
3042,9.83800029755
3043,9.83800029755
3068,9.83800029755
3069,9.83800029755
3070,9.83800029755
3095,9.83800029755
3096,9.83800029755
3097,9.83800029755
3122,8.38899993896
3123,8.38899993896
3124,8.38899993896
3877,11.9949998856
3878,11.9949998856
3879,11.9949998856
3880,9.83800029755
3904,11.9949998856
3905,11.9949998856
3906,11.9949998856
3907,9.83800029755
3931,11.9949998856
3932,11.9949998856
3933,11.9949998856
3934,9.83800029755
3959,8.38899993896
3960,8.38899993896
3961,8.38899993896
4716,11.9949998856
4717,10.2580003738
4718,7.6970000267
4743,11.9949998856
4744,10.2580003738
4745,8.85200023651
4746,8.85200023651
4747,8.85200023651
4768,11.9949998856
4769,11.9949998856
4770,11.9949998856
4771,10.2580003738
4772,8.85200023651
4773,8.85200023651
4774,8.85200023651
4796,8.38899993896
4797,8.67599964142
4798,8.67599964142
4799,8.85200023651
4800,8.85200023651
4801,8.85200023651
4825,8.52000045776
4826,8.52000045776
4827,8.52000045776
4852,7.83300018311
4853,7.83300018311
4854,7.83300018311
5446,8.2469997406
5447,8.2469997406
5448,8.2469997406
5472,8.03600025177
5473,8.2469997406
5474,8.42800045013
5475,8.42800045013
5476,8.42800045013
5497,7.6970000267
5498,9.33699989319
5499,10.4189996719
5500,10.4189996719
5501,10.4189996719
5502,8.81599998474
5503,8.42800045013
5526,10.8830003738
5527,10.8830003738
5554,11.9949998856
5581,11.9949998856
5605,11.9949998856
5606,11.9949998856
5608,11.9949998856
5633,9.73200035095
5634,11.5059995651
5635,11.5059995651
5636,11.5059995651
5637,11.4230003357
5639,8.85200023651
5661,9.35400009155
5662,10.2580003738
5663,10.829000473
5664,10.829000473
5665,10.829000473
5666,8.85200023651
5689,8.01200008392
5690,9.32499980927
5691,9.32499980927
5692,9.32499980927
5693,8.85200023651
5717,9.32499980927
5718,9.32499980927
5719,9.32499980927
5720,7.84899997711
5744,9.32499980927
5745,9.32499980927
5746,9.32499980927
6229,7.71999979019
6230,7.71999979019
6231,7.71999979019
6256,7.71999979019
6257,9.19400024414
6258,9.19400024414
6259,9.19400024414
6283,8.2469997406
6284,9.26000022888
6285,9.26000022888
6286,9.26000022888
6308,9.92800045013
6309,9.92800045013
6310,10.8489999771
6311,10.8489999771
6312,10.8489999771
6313,10.1700000763
6314,8.71000003815
6334,10.2580003738
6335,11.4729995728
6336,11.5059995651
6337,11.5059995651
6338,11.5059995651
6339,11.2889995575
6340,10.1700000763
6341,8.71000003815
6363,11.7889995575
6364,11.7889995575
6365,11.7889995575
6391,11.9949998856
6418,11.9949998856
6443,11.4409999847
6445,11.9949998856
6470,9.73200035095
6471,11.5059995651
6472,11.7889995575
6473,11.9949998856
6474,11.9949998856
6475,11.9949998856
6476,10.8830003738
6497,8.73499965668
6498,9.92800045013
6499,11.5059995651
6500,11.9949998856
6501,11.9949998856
6502,11.9949998856
6503,9.88099956512
6525,9.47599983215
6526,11.5059995651
6527,11.5059995651
6528,11.5059995651
6529,10.8719997406
6530,8.85200023651
6553,8.73499965668
6554,10.2969999313
6555,10.2969999313
6556,10.2969999313
6557,8.35200023651
6581,10.2969999313
6582,10.2969999313
6583,10.2969999313
7066,7.73099994659
7067,9.36499977112
7068,9.36499977112
7069,9.36499977112
7092,8.4390001297
7093,9.45899963379
7094,9.82100009918
7095,9.82100009918
7096,9.82100009918
7097,7.85900020599
7117,8.0579996109
7118,10.4180002213
7119,10.4180002213
7120,10.4180002213
7121,10.359000206
7122,10.359000206
7123,9.92700004578
7124,8.7469997406
7144,9.11400032043
7145,10.7629995346
7146,11.6420001984
7147,11.6420001984
7148,11.6420001984
7149,11.2569999695
7150,10.4169998169
7151,10.4169998169
7171,10.2580003738
7172,11.7390003204
7173,11.9949998856
7174,11.9949998856
7175,11.9949998856
7176,11.2889995575
7177,10.6809997559
7178,10.6809997559
7198,10.2580003738
7199,11.7390003204
7200,11.9949998856
7201,11.9949998856
7202,11.9949998856
7225,10.2580003738
7226,11.7390003204
7227,11.9949998856
7228,11.9949998856
7252,8.55900001526
7253,11.4409999847
7254,11.9949998856
7255,11.9949998856
7260,9.27299976349
7280,11.4409999847
7281,11.9949998856
7282,11.9949998856
7287,9.27299976349
7307,9.73200035095
7308,11.5059995651
7309,11.7889995575
7310,11.9949998856
7311,11.9949998856
7312,11.9949998856
7313,11.4230003357
7314,9.27299976349
7334,8.73499965668
7335,9.92800045013
7336,11.7390003204
7337,11.9949998856
7338,11.9949998856
7339,11.9949998856
7340,11.4230003357
7341,9.18400001526
7362,9.47599983215
7363,11.5059995651
7364,11.5059995651
7368,9.18400001526
7390,8.73499965668
7391,10.2969999313
7395,8.67800045013
7418,10.2969999313
7422,8.67800045013
7876,8.10299968719
7877,8.10299968719
7878,8.10299968719
7901,7.57600021362
7902,10.8529996872
7903,10.8529996872
7904,10.8529996872
7905,10.4169998169
7906,10.4169998169
7927,8.30700016022
7928,8.30700016022
7929,10.8529996872
7930,10.8529996872
7931,10.8529996872
7932,10.8229999542
7933,10.8229999542
7934,8.0030002594
7954,8.83899974823
7955,10.4180002213
7956,10.8529996872
7957,11.2030000687
7958,11.2030000687
7959,11.2030000687
7960,10.8229999542
7961,9.47399997711
7981,9.12899971008
7982,10.7629995346
7983,11.6420001984
7984,12.0369997025
7985,12.0369997025
7986,12.0369997025
7987,10.8229999542
7988,10.4169998169
8008,10.2580003738
8009,11.7390003204
8010,11.9949998856
8011,12.0369997025
8012,12.0369997025
8013,12.0369997025
8014,11.5059995651
8015,10.6809997559
8035,10.2580003738
8036,11.7390003204
8037,11.9949998856
8038,12.0369997025
8039,12.0369997025
8062,10.2580003738
8063,11.7390003204
8064,11.9949998856
8065,11.9949998856
8066,11.9949998856
8070,9.03499984741
8089,8.55900001526
8090,11.204000473
8091,11.7889995575
8092,11.7889995575
8093,11.7889995575
8097,10.5279998779
