mol_id,atom_id,score
A:984501,N1,18.4689998627
A:984501,C2,18.4580001831
A:984501,N3,0.0
A:984501,C4,19.8409996033
A:984501,C5,18.4850006104
A:984501,C6,18.4060001373
A:984501,C7,17.8309993744
A:984501,C8,17.2609996796
A:984501,C9,18.3630008698
A:984501,C10,16.7940006256
A:984501,C11,14.2110004425
A:984501,N12,0.0
A:984501,C13,15.8000001907
A:984501,C14,18.017999649
A:984501,C15,13.095000267
A:984501,C16,20.3229999542
A:984501,C17,18.4689998627
A:984501,C18,20.3229999542
A:984501,C19,20.3229999542
A:984501,C20,20.3229999542
A:984501,C21,20.3229999542
A:984501,C22,20.3229999542
A:984501,Cl23,0.0
A:984501,Cl24,0.0
A:984501,C25,18.4689998627
A:984501,C26,17.8840007782
A:984501,N27,0.0
A:984501,C28,16.1700000763
A:984501,N29,0.0
A:984501,N30,0.0
A:984501,C31,13.7919998169
A:984501,C32,8.25
A:984501,C33,13.7919998169
