mol_id,atom_id,score
A:NAP1318,P1,10.6809997559
A:NAP1318,O2,4.29500007629
A:NAP1318,O3,9.63500022888
A:NAP1318,O4,10.9320001602
A:NAP1318,C5,15.0480003357
A:NAP1318,C6,19.0400009155
A:NAP1318,O7,0.0
A:NAP1318,C8,19.0400009155
A:NAP1318,O9,0.0
A:NAP1318,C10,19.0400009155
A:NAP1318,O11,11.9250001907
A:NAP1318,C12,19.0900001526
A:NAP1318,N13,19.6030006409
A:NAP1318,C14,19.0809993744
A:NAP1318,N15,25.9559993744
A:NAP1318,C16,19.6030006409
A:NAP1318,C17,19.6030006409
A:NAP1318,N18,29.1079998016
A:NAP1318,N19,0.0
A:NAP1318,C20,19.6030006409
A:NAP1318,N21,0.0
A:NAP1318,C22,19.6030006409
A:NAP1318,O23,8.93500041962
A:NAP1318,P24,11.5399999619
A:NAP1318,O25,14.4940004349
A:NAP1318,O26,13.5109996796
A:NAP1318,O27,12.8350000381
A:NAP1318,C28,15.968000412
A:NAP1318,C29,15.968000412
A:NAP1318,O30,11.7580003738
A:NAP1318,C31,15.968000412
A:NAP1318,O32,12.4779996872
A:NAP1318,C33,16.6340007782
A:NAP1318,O34,12.8599996567
A:NAP1318,C35,16.6340007782
A:NAP1318,N36,16.6340007782
A:NAP1318,C37,16.6340007782
A:NAP1318,C38,16.6340007782
A:NAP1318,C39,16.5960006714
A:NAP1318,O40,21.8229999542
A:NAP1318,N41,18.4470005035
A:NAP1318,C42,16.6340007782
A:NAP1318,C43,16.6340007782
A:NAP1318,C44,16.6340007782
A:NAP1318,P45,11.3819999695
A:NAP1318,O46,11.1300001144
A:NAP1318,O47,0.0
A:NAP1318,O48,13.4899997711
A:FID1320,C1,16.6079998016
A:FID1320,N2,19.7779998779
A:FID1320,C3,16.7350006104
A:FID1320,C4,17.1560001373
A:FID1320,C5,16.7350006104
A:FID1320,C6,16.4710006714
A:FID1320,C7,16.4139995575
A:FID1320,F8,15.7250003815
A:FID1320,C9,15.8529996872
A:FID1320,C10,16.5520000458
A:FID1320,C11,17.1560001373
A:FID1320,O12,15.8389997482
A:FID1320,C13,17.1560001373
A:FID1320,C14,17.1560001373
A:FID1320,N15,0.0
A:FID1320,O16,16.3409996033
A:FID1320,C17,17.1560001373
A:FID1320,N18,0.0
A:FID1320,O19,19.5860004425
A:FID1320,O20,16.4880008698
A:CL1321,Cl1,0.0
