,scores
759,12.2910003662
760,12.2910003662
761,12.2910003662
777,12.2910003662
778,12.2910003662
779,12.2910003662
795,12.2910003662
796,12.2910003662
797,12.2910003662
977,12.2270002365
978,12.2270002365
979,12.2270002365
995,12.2270002365
996,12.2270002365
997,12.2270002365
1002,13.5039997101
1003,13.5039997101
1004,13.5039997101
1013,12.2270002365
1019,15.4919996262
1020,15.4919996262
1021,15.4919996262
1022,15.0380001068
1023,15.0380001068
1032,16.1219997406
1033,18.1599998474
1034,18.1599998474
1035,18.1599998474
1037,15.4919996262
1038,15.4919996262
1039,15.4919996262
1040,15.0380001068
1041,15.0380001068
1050,16.1219997406
1051,18.1599998474
1052,18.1599998474
1053,18.1599998474
1055,15.4919996262
1056,15.4919996262
1057,15.4919996262
1058,15.0380001068
1059,15.0380001068
1067,18.4470005035
1068,18.4470005035
1069,18.4470005035
1070,18.1599998474
1071,18.1599998474
1085,18.4470005035
1086,18.4470005035
1087,18.4470005035
1088,16.1060009003
1103,18.4470005035
1104,18.4470005035
1105,18.4470005035
1106,16.1060009003
1246,16.5760002136
1247,17.625
1248,17.625
1249,17.625
1250,13.6260004044
1264,16.5760002136
1265,17.625
1266,17.625
1267,17.625
1268,13.6260004044
1282,16.5760002136
1283,17.625
1284,17.625
1285,17.625
1286,13.6260004044
1287,13.6129999161
1300,13.9930000305
1301,16.5559997559
1302,16.5559997559
1304,17.0240001678
1305,17.0240001678
1306,17.0240001678
1307,15.4919996262
1308,15.4919996262
1309,15.4919996262
1310,15.0380001068
1311,15.0380001068
1320,16.1219997406
1321,18.1599998474
1322,18.1599998474
1323,18.1599998474
1324,17.0240001678
1325,15.4919996262
1326,15.4919996262
1327,15.4919996262
1328,15.0380001068
1329,15.0380001068
1338,16.5209999084
1339,18.1599998474
1340,18.1599998474
1341,18.1599998474
1342,17.0240001678
1343,15.4919996262
1344,15.4919996262
1345,15.4919996262
1346,15.0380001068
1347,15.0380001068
1355,18.4470005035
1356,18.4470005035
1357,18.4470005035
1358,18.1599998474
1359,18.1599998474
1360,15.5340003967
1373,18.4470005035
1374,18.4470005035
1375,18.4470005035
1376,16.5209999084
1377,15.3039999008
1391,18.4470005035
1392,18.4470005035
1393,18.4470005035
1394,16.1060009003
1479,15.2620000839
1480,15.2620000839
1481,15.2620000839
1497,16.6840000153
1498,16.9139995575
1499,18.1040000916
1500,18.1040000916
1501,18.1040000916
1515,16.6840000153
1516,17.9790000916
1517,18.1040000916
1518,18.1040000916
1519,18.1040000916
1520,14.3789997101
1533,16.6840000153
1534,17.9790000916
1535,19.7779998779
1536,19.7779998779
1537,19.7779998779
1538,15.6859998703
1551,16.0189990997
1552,17.9790000916
1553,19.7779998779
1554,19.7779998779
1555,19.7779998779
1556,15.6859998703
1569,14.4759998322
1570,16.5760002136
1571,19.7779998779
1572,19.7779998779
1573,19.7779998779
1574,15.6859998703
1577,16.3080005646
1578,16.3080005646
1579,16.3080005646
1589,17.7880001068
1590,17.7880001068
1591,17.7880001068
1592,17.0240001678
1593,17.0240001678
1594,17.0240001678
1595,16.3080005646
1596,16.3080005646
1597,16.3080005646
1598,15.0380001068
1599,15.0380001068
1608,16.1219997406
1609,18.1599998474
1610,18.1599998474
1611,18.1599998474
1612,17.0240001678
1613,16.3080005646
1614,16.3080005646
1615,16.3080005646
1616,15.0380001068
1617,15.0380001068
1626,16.5209999084
1627,18.1599998474
1628,18.1599998474
1629,18.1599998474
1630,17.0240001678
1632,15.4919996262
1633,15.4919996262
1634,15.0380001068
1635,15.0380001068
1643,18.4470005035
1644,18.4470005035
1645,18.4470005035
1646,18.1599998474
1647,18.1599998474
1648,15.5340003967
1649,15.1579999924
1661,18.4470005035
1662,18.4470005035
1663,18.4470005035
1664,16.5209999084
1665,15.3039999008
1666,14.670999527
1679,18.4470005035
1680,18.4470005035
1681,18.4470005035
1682,16.1060009003
1785,16.6840000153
1786,16.9139995575
1787,18.1040000916
1788,18.1040000916
1789,18.1040000916
1803,16.8080005646
1804,17.9790000916
1805,18.1040000916
1806,18.1040000916
1807,18.1040000916
1821,16.8080005646
1822,17.9790000916
1823,19.7779998779
1824,19.7779998779
1825,19.7779998779
1826,15.6859998703
1838,14.2530002594
1839,16.8080005646
1840,17.9790000916
1841,19.7779998779
1842,19.7779998779
1843,19.7779998779
1844,15.6859998703
1857,16.079000473
1858,16.5760002136
1859,19.7779998779
1860,19.7779998779
1861,19.7779998779
1862,15.6859998703
1877,17.7880001068
1878,17.7880001068
1879,17.7880001068
1880,17.0240001678
1881,18.0720005035
1882,18.0720005035
1883,18.0720005035
1898,17.0240001678
1899,18.0720005035
1900,18.0720005035
1901,18.0720005035
1916,17.0240001678
1917,18.0720005035
1918,18.0720005035
1919,18.0720005035
1932,16.5209999084
1933,16.5209999084
1934,16.5209999084
1935,16.1180000305
1936,16.1180000305
1937,16.1180000305
1939,13.8090000153
1940,13.8090000153
1941,13.8090000153
1950,16.5209999084
1951,16.5209999084
1952,16.5209999084
1953,15.3039999008
1954,14.670999527
1967,15.1909999847
1968,15.1909999847
1969,15.1909999847
2073,16.6840000153
2074,16.9139995575
2075,18.1040000916
2076,18.1040000916
2077,18.1040000916
2091,16.8080005646
2092,17.9790000916
2093,18.1040000916
2094,18.1040000916
2095,18.1040000916
2109,16.8080005646
2110,17.9790000916
2111,19.7779998779
2112,19.7779998779
2113,19.7779998779
2127,16.8080005646
2128,17.9790000916
2129,19.7779998779
2130,19.7779998779
2131,19.7779998779
2145,16.079000473
2146,16.158000946
2147,19.7779998779
2148,19.7779998779
2149,19.7779998779
2165,17.7880001068
2166,17.7880001068
2167,17.7880001068
2168,16.6730003357
2169,18.0720005035
2170,18.0720005035
2171,18.0720005035
2186,16.6730003357
2187,18.0720005035
2188,18.0720005035
2189,18.0720005035
2204,16.6730003357
2205,18.0720005035
2206,18.0720005035
2207,18.0720005035
2223,16.1180000305
2224,16.1180000305
2225,16.1180000305
2227,13.8090000153
2228,13.8090000153
2229,13.8090000153
2239,14.9790000916
2240,14.9790000916
2241,14.670999527
2242,14.670999527
2379,16.8080005646
2380,16.8080005646
2381,16.8080005646
2397,16.8080005646
2398,16.8080005646
2399,16.8080005646
2415,16.8080005646
2416,16.8080005646
2417,16.8080005646
2457,18.0720005035
2458,18.0720005035
2459,18.0720005035
2475,18.0720005035
