mol_id,atom_id,score
A:IXM451,C1,18.2159996033
A:IXM451,C2,18.9780006409
A:IXM451,C3,18.2159996033
A:IXM451,N4,18.4430007935
A:IXM451,C5,18.2159996033
A:IXM451,C6,17.6079998016
A:IXM451,C7,17.593000412
A:IXM451,C8,17.6410007477
A:IXM451,C9,18.9829998016
A:IXM451,C10,19.5559997559
A:IXM451,C11,18.9780006409
A:IXM451,N12,22.482000351
A:IXM451,C13,19.2099990845
A:IXM451,C14,19.5559997559
A:IXM451,C15,19.5559997559
A:IXM451,C16,19.5559997559
A:IXM451,C17,19.5559997559
A:IXM451,C18,19.5559997559
A:IXM451,O19,21.7430000305
A:IXM451,N20,19.0729999542
A:IXM451,O21,18.436000824
B:IXM452,C1,35.341999054
B:IXM452,C2,35.341999054
B:IXM452,C3,35.341999054
B:IXM452,N4,37.4280014038
B:IXM452,C5,34.9189987183
B:IXM452,C6,34.9189987183
B:IXM452,C7,34.9189987183
B:IXM452,C8,32.6160011292
B:IXM452,C9,35.341999054
B:IXM452,C10,35.341999054
B:IXM452,C11,32.313999176
B:IXM452,N12,35.5760002136
B:IXM452,C13,32.0289993286
B:IXM452,C14,35.341999054
B:IXM452,C15,30.4249992371
B:IXM452,C16,29.986000061
B:IXM452,C17,29.986000061
B:IXM452,C18,35.341999054
B:IXM452,O19,39.0429992676
B:IXM452,N20,33.5649986267
B:IXM452,O21,26.6790008545
