,scores
764,14.8090000153
766,18.327999115
767,18.327999115
768,18.327999115
784,16.0270004272
785,16.0270004272
787,14.8090000153
789,18.327999115
790,18.327999115
791,18.327999115
807,16.0270004272
808,16.0270004272
810,14.8090000153
812,18.327999115
813,18.327999115
814,18.327999115
830,16.0270004272
831,16.0270004272
1054,16.7350006104
1055,16.7350006104
1063,14.8090000153
1064,15.8319997787
1065,18.327999115
1066,18.327999115
1078,16.7350006104
1084,16.0270004272
1086,14.8090000153
1087,15.8319997787
1088,18.327999115
1089,18.327999115
1101,16.7350006104
1106,16.0270004272
1107,16.0270004272
1109,14.8090000153
1110,15.8319997787
1111,18.327999115
1112,18.327999115
1113,18.327999115
1129,16.0270004272
1130,16.0270004272
1131,15.140999794
1353,17.9790000916
1354,17.9790000916
1362,14.8090000153
1363,15.8319997787
1364,18.327999115
1365,18.327999115
1383,16.0270004272
1385,14.8090000153
1386,15.8319997787
1387,18.327999115
1388,18.327999115
1405,16.0270004272
1406,16.0270004272
1408,14.8090000153
1409,15.8319997787
1410,18.327999115
1411,18.327999115
1412,18.327999115
1428,16.0270004272
1429,16.0270004272
1430,15.140999794
1652,18.827999115
1653,17.9790000916
1662,15.8319997787
1663,17.672000885
1675,18.827999115
1684,14.7299995422
1685,15.8319997787
1686,17.672000885
1698,18.827999115
1705,15.7209997177
1707,14.7299995422
1708,15.8319997787
1709,17.672000885
1710,17.672000885
1711,17.672000885
1728,15.7209997177
1729,15.140999794
1951,18.827999115
1952,17.9790000916
1974,18.827999115
1983,14.7299995422
1997,18.827999115
2004,14.7299995422
2005,14.7299995422
2006,14.7299995422
2250,18.827999115
2273,18.827999115
2296,18.827999115
2453,17.7530002594
2454,17.7530002594
2455,17.7530002594
2478,17.7530002594
2501,17.7530002594
2752,17.7530002594
2753,21.2630004883
2754,21.2630004883
2755,21.2630004883
2776,21.2630004883
2777,21.2630004883
2778,21.2630004883
2799,21.2630004883
2800,21.2630004883
2801,21.2630004883
3051,17.7530002594
3052,21.2630004883
3053,21.2630004883
3054,21.2630004883
3075,21.2630004883
3076,21.2630004883
3077,21.2630004883
3098,21.2630004883
3099,21.2630004883
3100,21.2630004883
3350,17.6149997711
3351,21.2630004883
3352,21.2630004883
3353,21.2630004883
3372,17.2119998932
3373,17.6149997711
3374,21.2630004883
3375,21.2630004883
3376,21.2630004883
3397,21.2630004883
3398,21.2630004883
3399,21.2630004883
3650,19.7250003815
3651,19.7250003815
3652,19.7250003815
3673,19.7250003815
3674,19.7250003815
3675,19.7250003815
3696,19.7250003815
3697,19.7250003815
3698,19.7250003815
6881,14.8710002899
6882,14.8710002899
6883,14.8710002899
6884,14.3719997406
6926,14.4610004425
6968,14.4610004425
7010,14.4949998856
7011,14.4949998856
7012,14.4949998856
7052,14.4949998856
7053,14.4949998856
7054,14.4949998856
7094,14.4949998856
7095,14.4949998856
7096,14.4949998856
7805,14.8710002899
7806,14.8710002899
7807,14.8710002899
7808,14.3719997406
7847,14.8710002899
7848,14.8710002899
7849,14.8710002899
7850,14.4610004425
7851,14.4300003052
7852,14.4300003052
7889,14.8710002899
7890,14.8710002899
7891,14.8710002899
7892,14.5010004044
7893,14.5010004044
7894,14.5010004044
7932,14.4610004425
7933,14.4610004425
7934,14.5010004044
7935,14.5010004044
7936,14.5010004044
7976,14.5010004044
7977,14.5010004044
7978,14.5010004044
8018,14.4949998856
8019,14.4949998856
8020,14.4949998856
8688,14.4949998856
8689,14.4949998856
8690,14.4949998856
8691,14.4300003052
8729,14.8710002899
8730,14.8710002899
8731,14.8710002899
8732,14.8710002899
8733,14.8710002899
8734,14.4610004425
8771,14.8710002899
8772,14.8710002899
8773,14.8710002899
8774,14.906999588
8775,14.906999588
8776,14.906999588
8777,14.5670003891
8778,14.4610004425
8779,14.4610004425
8813,14.8710002899
8814,14.8710002899
8815,14.8710002899
8816,15.2220001221
8817,15.2220001221
8818,15.2220001221
8819,14.8710002899
8820,14.4610004425
8821,14.4610004425
8822,14.3699998856
8823,14.4189996719
8824,14.4189996719
8825,14.4189996719
8856,14.4610004425
8857,14.4610004425
8858,15.2220001221
8859,15.2220001221
8860,15.2220001221
8861,14.8710002899
8862,14.4610004425
8863,14.8380002975
8864,14.8380002975
8865,14.8380002975
8866,14.4189996719
8867,14.4189996719
8900,15.2220001221
8901,15.2220001221
8902,15.2220001221
8903,14.8710002899
8904,14.6339998245
8905,14.8380002975
8906,14.8380002975
8907,14.8380002975
8908,14.4189996719
8909,14.4189996719
8942,14.4949998856
8943,14.4949998856
8944,14.4949998856
8945,14.3190002441
8946,14.6339998245
8947,14.8380002975
8948,14.8380002975
8949,14.8380002975
8988,14.6339998245
8989,14.6339998245
8990,14.6339998245
9529,14.3990001678
9530,14.3990001678
9531,14.3990001678
9571,14.3990001678
9572,14.3990001678
9573,14.3990001678
9612,14.4949998856
9613,14.906999588
9614,14.906999588
9615,14.906999588
9616,14.5670003891
9654,14.4949998856
9655,14.906999588
9656,14.906999588
9657,14.906999588
9658,14.7469997406
9659,14.7469997406
9661,14.9960002899
9662,14.9960002899
9663,14.9960002899
9664,14.5749998093
9665,14.5340003967
9666,14.3699998856
9696,14.4949998856
9697,14.906999588
9698,15.2150001526
9699,15.2150001526
9700,15.2150001526
9701,15.2150001526
9702,15.2150001526
9703,15.2150001526
9704,15.5699996948
9705,15.5699996948
9706,15.5699996948
9707,14.5600004196
9708,14.3699998856
9739,14.8710002899
9740,15.2220001221
9741,15.2220001221
9742,15.2220001221
9743,15.4449996948
9744,15.4449996948
9745,15.4449996948
9746,15.5699996948
9747,15.5699996948
9748,15.5699996948
9749,14.7690000534
9750,14.3699998856
9782,15.2220001221
9783,15.2220001221
9784,15.2220001221
9785,15.4449996948
9786,15.4449996948
9787,15.4449996948
9788,15.5699996948
9789,15.5699996948
9790,15.5699996948
9791,14.7690000534
9824,15.2220001221
9825,15.2220001221
9826,15.2220001221
9827,15.4449996948
9828,15.4449996948
9829,15.4449996948
9830,15.4449996948
9831,15.4449996948
9832,15.4449996948
9833,14.9230003357
9867,14.2650003433
9868,14.5600004196
9869,14.5600004196
9870,14.9230003357
9871,14.9230003357
9872,14.9230003357
9873,14.9230003357
9874,14.9230003357
9875,14.9230003357
9912,14.6339998245
9913,14.6339998245
9914,14.6339998245
9915,14.9230003357
9916,14.9230003357
9917,14.9230003357
10434,14.8879995346
10435,14.8879995346
10436,14.8879995346
10452,14.4949998856
10453,14.8129997253
10454,14.8129997253
10455,14.8129997253
10456,14.4720001221
10476,14.8879995346
10477,15.7349996567
10478,15.7349996567
10479,15.7349996567
10494,15.2220001221
10495,15.2220001221
10496,15.2220001221
10497,14.8710002899
10498,14.7469997406
10503,14.9809999466
10504,14.9809999466
10505,14.9809999466
10506,14.8199996948
10518,14.8879995346
10519,15.7349996567
10520,15.7349996567
10521,15.7349996567
10536,15.2220001221
10537,15.2220001221
10538,15.2220001221
10539,15.2150001526
10540,14.8739995956
10541,14.8739995956
10542,14.8090000153
10543,15.4809999466
10544,15.4809999466
10545,16.1259994507
10546,16.1259994507
10547,16.1259994507
10548,15.6210002899
10560,14.4600000381
10561,15.7349996567
10562,15.7349996567
10563,15.7349996567
10578,15.2220001221
10579,15.2220001221
10580,15.7229995728
10581,15.7229995728
10582,15.7229995728
10583,15.5369997025
10584,15.5369997025
10585,15.4809999466
10586,15.4809999466
10587,16.2259998322
10588,16.2259998322
10589,16.2259998322
10590,15.6210002899
10603,15.404999733
10604,15.404999733
10605,15.404999733
10621,15.2150001526
10622,15.7229995728
10623,15.7229995728
10624,15.7229995728
10625,15.7229995728
10626,15.9490003586
10627,15.9490003586
10628,15.9490003586
10629,16.2259998322
10630,16.2259998322
10631,16.2259998322
10632,15.640999794
10664,15.7229995728
10665,15.7229995728
10666,15.7229995728
10667,15.7229995728
10668,15.9490003586
10669,15.9490003586
10670,15.9490003586
10671,16.2259998322
10672,16.2259998322
10673,16.2259998322
10674,15.640999794
10675,14.373000145
10706,15.2220001221
10707,15.2220001221
10708,15.2220001221
10709,15.7229995728
10710,15.9490003586
10711,15.9490003586
10712,15.9490003586
10713,15.5699996948
10714,15.640999794
10715,15.640999794
10716,15.640999794
10717,14.373000145
10748,15.2220001221
10749,15.2220001221
10750,15.2220001221
10751,15.4449996948
10752,15.767999649
10753,15.767999649
10754,15.767999649
10755,15.4449996948
10756,15.5590000153
10757,15.5590000153
10758,15.5590000153
10759,14.373000145
10791,14.2650003433
10792,14.5600004196
10793,14.5600004196
10794,14.9230003357
10795,14.9230003357
10796,14.9230003357
10797,14.9720001221
10798,15.5590000153
10799,15.5590000153
10800,15.5590000153
10836,14.6339998245
10837,14.6339998245
10838,14.6339998245
10839,14.9230003357
10840,14.9230003357
10841,14.9230003357
11260,14.906999588
11261,14.906999588
11262,14.906999588
11295,14.8129997253
11296,14.8129997253
11297,14.8129997253
11298,14.4720001221
11301,14.4549999237
11302,15.767999649
11303,15.767999649
11304,15.767999649
11316,14.8269996643
11317,14.8269996643
11318,14.8269996643
11336,14.7980003357
11337,14.8129997253
11338,14.8129997253
11339,14.8129997253
11340,14.4720001221
11343,14.4549999237
11344,15.767999649
11345,15.767999649
11346,15.767999649
11347,14.9919996262
11348,14.6450004578
11358,17.5769996643
11359,17.5769996643
11360,17.5769996643
11361,17.1380004883
11362,17.1380004883
11363,17.1380004883
11376,14.4949998856
11377,14.906999588
11378,15.2150001526
11379,15.2150001526
11380,15.2150001526
11381,14.8129997253
11382,14.4720001221
11383,14.3109998703
11384,14.4379997253
11385,15.3090000153
11386,15.767999649
11387,15.8280000687
11388,15.8280000687
11389,15.8280000687
11390,14.6450004578
11400,18.7299995422
11401,19.4279994965
11402,19.4279994965
11403,19.4279994965
11404,17.1380004883
11405,17.1380004883
11406,14.3509998322
11418,15.2220001221
11419,15.2220001221
11420,15.2220001221
11421,15.9490003586
11422,15.9490003586
11423,15.9490003586
11424,15.6809997559
11425,15.2889995575
11426,15.9490003586
11427,16.1319999695
11428,16.1319999695
11429,16.1319999695
11430,15.8280000687
11431,15.8280000687
11432,14.6450004578
11442,18.7299995422
11443,19.4279994965
11444,19.4279994965
11445,19.4279994965
11446,17.1380004883
11447,17.1380004883
11448,14.3509998322
11460,15.2220001221
11461,15.2220001221
11462,15.5369997025
11463,15.9490003586
11464,15.9490003586
11465,15.9490003586
11466,15.6809997559
11467,15.767999649
11468,15.9490003586
11469,16.1319999695
11470,16.1319999695
11471,16.1319999695
11472,15.8280000687
11473,15.8280000687
11474,14.4639997482
11484,18.7299995422
11485,19.4279994965
11486,19.4279994965
11487,19.4279994965
11488,16.7749996185
11489,15.970000267
11490,14.3509998322
11502,15.2220001221
11503,15.2220001221
11504,15.7229995728
11505,15.9490003586
11506,15.9490003586
11507,15.9490003586
11508,15.9490003586
11509,16.1690006256
11510,16.1690006256
11511,16.2259998322
11512,16.2259998322
11513,16.2259998322
11514,15.767999649
11515,15.5590000153
11526,15.1490001678
11527,18.4519996643
11528,18.4519996643
11529,18.4519996643
11530,16.3349990845
11545,15.2150001526
11546,15.7229995728
11547,15.7229995728
11548,15.9490003586
11549,15.9490003586
11550,15.9490003586
11551,16.1690006256
11552,16.1690006256
11553,16.2259998322
11554,16.2259998322
11555,16.2259998322
11556,15.7229995728
11588,15.7229995728
11589,15.7229995728
11590,15.9490003586
11591,15.9490003586
11592,15.9490003586
11593,16.1690006256
11594,16.1690006256
11595,16.2259998322
11596,16.2259998322
11597,16.2259998322
11598,15.7229995728
11599,14.373000145
11630,15.2150001526
11631,15.2150001526
11632,15.2629995346
11633,15.7229995728
11634,15.9490003586
11635,15.9490003586
11636,15.9490003586
11637,15.5699996948
11638,15.640999794
11639,15.640999794
11640,15.640999794
11641,14.373000145
11673,14.6359996796
11674,14.6359996796
11675,15.4449996948
11676,15.767999649
11677,15.767999649
11678,15.767999649
11679,15.4449996948
11680,15.5590000153
11681,15.5590000153
11682,15.5590000153
11683,14.373000145
11715,14.2650003433
11716,14.5600004196
11717,14.5600004196
11718,14.9230003357
11719,14.9230003357
11720,14.9230003357
11721,14.9720001221
11722,15.5590000153
11723,15.5590000153
11724,15.5590000153
11763,14.9230003357
11764,14.9230003357
11765,14.9230003357
12140,14.9729995728
12141,14.9729995728
12142,16.1170005798
12143,16.1170005798
12144,16.1170005798
12178,14.8229999542
12179,15.6199998856
12180,15.6199998856
12181,15.6199998856
12182,15.8030004501
12183,15.8030004501
12184,16.1170005798
12185,16.1170005798
12186,16.1170005798
12198,14.3000001907
12199,14.3000001907
12200,14.3000001907
12218,14.8669996262
12219,15.7779998779
12220,15.7779998779
12221,16.4489994049
12222,16.4489994049
12223,16.4489994049
12224,16.1170005798
12225,16.1180000305
12226,16.1180000305
12227,16.1180000305
12228,16.1170005798
12229,15.7779998779
12230,14.3299999237
12240,16.2210006714
12241,16.2210006714
12242,16.2210006714
12243,15.3800001144
12258,15.2220001221
12259,15.2220001221
12260,15.5369997025
12261,15.7779998779
12262,15.9490003586
12263,16.4489994049
12264,16.4489994049
12265,16.4489994049
12266,16.2509994507
12267,16.2509994507
12268,16.2509994507
12269,16.1319999695
12270,16.1319999695
12271,16.1319999695
12272,14.7589998245
12281,16.1930007935
12282,17.9960002899
12283,18.2490005493
12284,18.2490005493
12285,18.2490005493
12286,17.1380004883
12287,17.1380004883
12288,15.9499998093
12289,15.4490003586
12290,14.9149999619
12300,15.2220001221
12301,15.2220001221
12302,15.7229995728
12303,15.7779998779
12304,16.1690006256
12305,16.4489994049
12306,16.4489994049
12307,16.4489994049
12308,16.438999176
12309,16.438999176
12310,16.438999176
12311,16.438999176
12312,16.438999176
12313,16.1319999695
12314,15.4180002213
12323,16.1930007935
12324,19.1040000916
12325,19.4279994965
12326,19.4279994965
12327,19.4279994965
12328,18.2660007477
12329,18.0529994965
12330,18.0529994965
12331,16.4130001068
12332,14.9149999619
12342,15.2220001221
12343,15.2220001221
12344,15.7229995728
12345,15.9490003586
12346,16.1690006256
12347,16.2259998322
12348,16.2259998322
12349,16.2259998322
12350,16.438999176
12351,16.438999176
12352,16.438999176
12353,16.438999176
12354,16.438999176
12355,16.1319999695
12356,15.4180002213
12365,16.1930007935
12366,19.1040000916
12367,19.4279994965
12368,19.4279994965
12369,19.4279994965
12370,18.2660007477
12371,18.0529994965
12372,18.0529994965
12373,16.4130001068
12374,14.9149999619
