,scores
1135,16.9020004272
1136,16.9020004272
1137,16.9020004272
1161,16.9020004272
1162,16.9020004272
1163,16.9020004272
1187,16.9020004272
1188,16.9020004272
1189,16.9020004272
1382,9.42099952698
1383,11.0340003967
1384,11.0340003967
1385,11.0340003967
1408,9.42099952698
1409,11.0340003967
1410,11.0340003967
1411,11.0340003967
1416,13.6759996414
1417,13.6759996414
1434,9.42099952698
1435,11.0340003967
1436,11.0340003967
1437,11.0340003967
1442,13.6759996414
1603,16.9020004272
1604,16.9020004272
1758,29.0020008087
1759,29.0020008087
1760,29.0020008087
1784,29.0020008087
1785,32.8120002747
1786,32.8120002747
1787,32.8120002747
1798,12.6330003738
1799,12.6330003738
1800,25.2660007477
1801,22.0680007935
1810,29.0020008087
1811,32.8120002747
1812,32.8120002747
1813,32.8120002747
1824,12.6330003738
1825,12.6330003738
1826,25.2660007477
1827,22.0680007935
1830,46.1599998474
1831,49.2799987793
1832,54.7039985657
1833,54.7039985657
1834,54.7039985657
1837,32.8120002747
1838,32.8120002747
1839,32.8120002747
1850,12.6330003738
1851,12.6330003738
1852,25.2660007477
1853,22.0680007935
1854,58.7080001831
1855,59.8359985352
1856,59.8359985352
1857,59.8359985352
1880,58.7080001831
1881,59.8359985352
1882,59.8359985352
1883,59.8359985352
1906,58.7080001831
1907,59.8359985352
1908,59.8359985352
1909,59.8359985352
1967,67.608001709
1968,67.608001709
1969,67.608001709
2019,16.9020004272
2174,30.2479991913
2175,30.2479991913
2176,30.2479991913
2188,10.1210002899
2189,12.4160003662
2190,24.8320007324
2191,24.8320007324
2200,30.2479991913
2201,32.8120002747
2202,32.8120002747
2203,32.8120002747
2214,12.6330003738
2215,12.6330003738
2216,25.2660007477
2217,24.8320007324
2226,30.2479991913
2227,32.8120002747
2228,32.8120002747
2229,32.8120002747
2240,12.6330003738
2241,12.6330003738
2242,25.2660007477
2243,24.8320007324
2244,49.0
2245,49.8359985352
2246,49.8359985352
2247,49.8359985352
2248,54.7039985657
2249,54.7039985657
2250,54.7039985657
2253,32.8120002747
2254,32.8120002747
2255,32.8120002747
2266,12.6330003738
2268,25.2660007477
2269,22.7000007629
2270,58.7080001831
2271,59.8359985352
2272,59.8359985352
2273,59.8359985352
2295,22.7000007629
2296,58.7080001831
2297,59.8359985352
2298,59.8359985352
2299,59.8359985352
2322,58.7080001831
2323,59.8359985352
2324,59.8359985352
2325,59.8359985352
2563,27.1399993896
2564,29.517999649
2565,29.517999649
2566,29.517999649
2578,10.4350004196
2579,10.4350004196
2580,20.8700008392
2589,27.1399993896
2590,30.3479995728
2591,30.3479995728
2592,30.3479995728
2605,12.4160003662
2606,24.8320007324
2607,24.8320007324
2615,27.1399993896
2616,30.3479995728
2617,32.8120002747
2618,32.8120002747
2619,32.8120002747
2630,12.6330003738
2631,12.6330003738
2632,25.2660007477
2633,24.8320007324
2634,48.4199981689
2635,48.4199981689
2636,48.4199981689
2637,46.0680007935
2642,30.3479995728
2643,32.8120002747
2644,32.8120002747
2645,32.8120002747
2656,12.6330003738
2657,12.6330003738
2658,25.2660007477
2659,24.8320007324
2660,50.5519981384
2661,50.5519981384
2662,50.5519981384
2663,49.8359985352
2664,49.2799987793
2665,49.2799987793
2666,47.0559997559
2669,32.8120002747
2670,32.8120002747
2671,32.8120002747
2682,12.6330003738
2684,25.2660007477
2685,22.7000007629
2686,58.7080001831
2687,59.8359985352
2688,59.8359985352
2689,59.8359985352
2711,22.7000007629
2712,58.7080001831
2713,59.8359985352
2714,59.8359985352
2715,59.8359985352
2738,58.7080001831
2739,59.8359985352
2740,59.8359985352
2741,59.8359985352
2772,25.3540000916
2796,24.1739997864
2797,24.1739997864
2798,24.1739997864
2968,9.53199958801
2969,9.53199958801
2970,19.063999176
2971,17.3600006104
