mol_id,atom_id,score
A:CTP401,N1,13.8620004654
A:CTP401,C2,13.3559999466
A:CTP401,N3,14.7720003128
A:CTP401,C4,13.8620004654
A:CTP401,C5,13.8620004654
A:CTP401,C6,13.8620004654
A:CTP401,O7,7.79699993134
A:CTP401,N8,13.4250001907
A:CTP401,C9,15.0579996109
A:CTP401,C10,15.0579996109
A:CTP401,O11,13.1669998169
A:CTP401,C12,15.7729997635
A:CTP401,C13,16.0690002441
A:CTP401,O14,13.0240001678
A:CTP401,O15,12.138999939
A:CTP401,C16,16.0690002441
A:CTP401,O17,0.0
A:CTP401,P18,14.093000412
A:CTP401,O19,12.4569997787
A:CTP401,O20,0.0
A:CTP401,O21,11.640999794
A:CTP401,P22,13.9189996719
A:CTP401,O23,12.8629999161
A:CTP401,O24,12.8629999161
A:CTP401,O25,10.3149995804
A:CTP401,P26,2.78500008583
A:CTP401,O27,8.89799976349
A:CTP401,O28,6.28100013733
A:CTP401,O29,10.1339998245
