mol_id,atom_id,score
A:CIA501,C1,0.0
A:CIA501,C2,0.0
A:CIA501,C3,0.0
A:CIA501,C4,0.0
A:CIA501,C5,18.8490009308
A:CIA501,C6,20.295999527
A:CIA501,N7,0.0
A:CIA501,C8,8.92099952698
A:CIA501,C9,0.0
A:CIA501,C10,22.3740005493
A:CIA501,N11,22.343000412
A:CIA501,C12,20.656999588
A:CIA501,O13,0.0
A:CIA501,C14,20.3369998932
A:CIA501,N15,18.5170001984
A:CIA501,C16,20.3369998932
A:CIA501,O17,20.3859996796
A:CIA501,C18,20.656999588
A:CIA501,C19,19.0820007324
A:CIA501,C20,18.4020004272
A:CIA501,C21,22.3740005493
A:CIA501,C22,22.3740005493
A:CIA501,C23,22.3740005493
A:CIA501,C24,22.3740005493
A:CIA501,O25,24.2569999695
A:CIA501,C26,22.3740005493
A:CIA501,O27,22.2080001831
A:CIA501,C28,22.3740005493
A:CIA501,C29,22.3740005493
