,scores
1124,18.4200000763
1125,18.4200000763
1160,18.4200000763
1161,18.4200000763
1195,16.5970001221
1196,18.4200000763
1197,18.4200000763
1198,18.4200000763
1628,19.2010002136
1629,19.2010002136
1663,19.2509994507
1664,19.2509994507
1698,16.5939998627
1699,19.2509994507
1700,19.2509994507
1735,19.2509994507
1736,19.2509994507
2131,18.4780006409
2166,16.8099994659
2167,20.2929992676
2168,20.2929992676
2198,17.3029994965
2199,17.3029994965
2200,17.3029994965
2201,17.7189998627
2202,17.9510002136
2203,20.2929992676
2204,20.2929992676
2234,17.3029994965
2235,17.3029994965
2236,17.3029994965
2237,17.7189998627
2238,17.9510002136
2239,20.2929992676
2240,20.2929992676
2270,17.3029994965
2271,17.3029994965
2272,17.3029994965
2273,17.7189998627
2274,17.9510002136
2307,16.9150009155
2308,16.9150009155
2309,16.9150009155
2668,15.6770000458
2669,18.2199993134
2670,18.2199993134
2671,20.2929992676
2672,20.2929992676
2702,17.3029994965
2703,17.3029994965
2704,17.3029994965
2705,20.1480007172
2706,20.1480007172
2707,20.2929992676
2708,20.2929992676
2738,18.6770000458
2739,18.6979999542
2740,18.6979999542
2741,20.1480007172
2742,20.1480007172
2743,20.2929992676
2744,20.2929992676
2774,18.6770000458
2775,18.6979999542
2776,18.6979999542
2777,20.1480007172
2778,20.1480007172
2779,20.1480007172
2810,18.6770000458
2811,18.6979999542
2812,18.6979999542
2813,18.6979999542
2814,16.7150001526
2874,19.3999996185
2875,19.3999996185
2876,19.3999996185
2877,17.6340007782
2910,19.3999996185
2911,19.3999996185
2912,19.3999996185
2913,17.6340007782
2943,16.1979999542
2946,19.3999996185
2947,19.3999996185
2948,19.3999996185
2949,17.6340007782
3135,15.4739999771
3136,19.0869998932
3137,19.0869998932
3138,19.0869998932
3170,15.9390001297
3171,15.9390001297
3172,19.0869998932
3173,19.0869998932
3174,19.0869998932
3175,20.2929992676
3206,17.3029994965
3207,18.7460002899
3208,19.8349990845
3209,20.1480007172
3210,20.1480007172
3211,20.2929992676
3242,18.6770000458
3243,18.7460002899
3244,19.8349990845
3245,20.1480007172
3246,20.1480007172
3247,20.2929992676
3278,18.6770000458
3279,18.7460002899
3280,19.8349990845
3281,20.1480007172
3282,20.1480007172
3283,20.1480007172
3314,18.6770000458
3315,18.6979999542
3316,18.6979999542
3317,18.6979999542
3318,16.7150001526
3378,19.3999996185
3379,19.3999996185
3380,19.3999996185
3381,17.6340007782
3411,22.1679992676
3412,22.1679992676
3414,19.3999996185
3415,19.3999996185
3416,19.3999996185
3417,17.6340007782
3447,23.7800006866
3448,23.7800006866
3449,23.7800006866
3450,19.3999996185
3451,19.3999996185
3452,19.3999996185
3453,17.6340007782
3639,17.4349994659
3640,19.0869998932
3674,15.9390001297
3675,17.4349994659
3676,19.0869998932
3710,16.7240009308
3711,18.7460002899
3712,19.8349990845
3713,20.1480007172
3714,20.1480007172
3715,20.1480007172
3746,18.6770000458
3747,18.7460002899
3748,19.8349990845
3749,20.1480007172
3750,20.1480007172
3751,20.1480007172
3782,18.6770000458
3783,18.7460002899
3784,19.8349990845
3785,20.1480007172
3786,20.1480007172
3787,20.1480007172
3818,18.6770000458
3819,18.6979999542
3820,18.6979999542
3821,18.6979999542
3882,19.3999996185
3883,19.3999996185
3884,19.3999996185
3885,17.6340007782
3915,22.1679992676
3916,22.1679992676
3918,19.3999996185
3919,19.3999996185
3920,19.3999996185
3921,17.6340007782
3951,23.7800006866
3952,23.7800006866
3953,23.7800006866
3954,19.3999996185
3955,19.3999996185
3956,19.3999996185
3957,17.6340007782
4143,17.4349994659
4144,19.3260002136
4178,15.9390001297
4179,17.4349994659
4180,19.3260002136
4214,15.9390001297
4215,18.7460002899
4216,19.8349990845
4217,19.8349990845
4218,19.8349990845
4250,15.9390001297
4251,18.7460002899
4252,19.8349990845
4253,19.8349990845
4254,19.8349990845
4286,15.5740003586
4287,18.7460002899
4288,19.8349990845
4289,19.8349990845
4290,19.8349990845
4419,22.2080001831
4420,22.1679992676
4455,23.7800006866
4456,23.7800006866
4457,23.7800006866
4647,17.4349994659
4683,17.4349994659
4684,19.3260002136
4719,17.4349994659
4720,17.4349994659
4721,17.4349994659
4756,16.688999176
5187,15.5030002594
5188,19.3260002136
5223,15.5030002594
5224,17.0720005035
5259,15.5030002594
5260,16.688999176
5728,16.7660007477
5764,16.688999176
5770,41.8880004883
6130,15.0729999542
6164,21.8269996643
6165,21.8269996643
6166,21.8269996643
6200,21.8269996643
6201,21.8269996643
6202,21.8269996643
6236,21.8269996643
6237,21.8269996643
6238,21.8269996643
6271,19.1289997101
6272,20.9440002441
6273,20.9440002441
6274,20.9440002441
6307,15.8800001144
6308,17.7740001678
6309,17.7740001678
6310,17.7740001678
6633,15.0729999542
6634,15.0729999542
6669,19.218000412
6670,19.218000412
6705,20.9440002441
6706,20.9440002441
6741,20.9440002441
6742,20.9440002441
6774,18.5520000458
6775,19.1289997101
6776,20.9440002441
6777,20.9440002441
6778,20.9440002441
6811,16.5380001068
6812,17.7740001678
6813,17.7740001678
6814,17.7740001678
7173,15.2209997177
7174,15.0069999695
7206,18.5520000458
7207,18.5520000458
7208,18.5520000458
7209,17.3540000916
7210,16.3819999695
7242,18.5520000458
7243,18.5520000458
7244,18.5520000458
7245,17.7740001678
7246,17.7740001678
7278,18.5520000458
7279,18.5520000458
7280,18.5520000458
7281,17.7740001678
7282,17.7740001678
7315,16.5380001068
7316,17.7740001678
7317,17.7740001678
7318,17.7740001678
7674,15.4420003891
7675,15.4420003891
7676,15.4420003891
7710,18.5520000458
7711,18.5520000458
7712,18.5520000458
7713,14.6099996567
7746,18.5520000458
7747,18.5520000458
7748,18.5520000458
7749,16.5380001068
7782,18.5520000458
7783,18.5520000458
7784,18.5520000458
7785,16.5380001068
7819,16.5380001068
7820,16.5380001068
7821,16.5380001068
11197,15.2770004272
11198,15.2770004272
11199,15.2770004272
11231,15.2770004272
11232,15.2770004272
11233,15.2770004272
11236,14.2539997101
11237,14.2539997101
11238,14.2539997101
11265,15.2770004272
11266,15.2770004272
11267,15.2770004272
11270,14.2539997101
11271,14.2539997101
11272,14.2539997101
11304,14.2539997101
11305,14.2539997101
11306,14.2539997101
12015,14.0080003738
12016,14.0080003738
12017,14.0080003738
12047,15.2770004272
12048,15.2770004272
12049,15.2770004272
12050,14.4300003052
12051,14.4300003052
12081,15.2770004272
12082,15.2770004272
12083,15.2770004272
12084,14.4300003052
12085,14.4300003052
12086,14.2539997101
12087,16.7469997406
12088,16.7469997406
12089,16.7469997406
12090,15.8100004196
12091,15.8100004196
12092,15.8100004196
12115,15.2770004272
12116,15.2770004272
12117,15.2770004272
12118,14.4300003052
12119,14.4300003052
12120,14.2539997101
12121,16.7469997406
12122,16.7469997406
12123,16.7469997406
12124,15.8100004196
12125,15.8100004196
12126,15.8100004196
12154,14.2539997101
12155,16.7469997406
12156,16.7469997406
12157,16.7469997406
12158,15.8100004196
12159,15.8100004196
12160,15.8100004196
12191,15.013999939
12192,15.013999939
12193,15.013999939
12829,14.482000351
12830,14.482000351
12831,14.482000351
12854,14.9469995499
12855,15.779999733
12856,15.9060001373
12857,16.3330001831
12858,16.3330001831
12859,16.3330001831
12860,16.3040008545
12861,15.7309999466
12862,15.7770004272
12863,16.468000412
12864,16.7469997406
12865,16.7469997406
12866,16.7469997406
12867,15.2559995651
12868,14.6610002518
12888,14.9469995499
12889,15.779999733
12890,15.9060001373
12891,16.3330001831
12892,16.3330001831
12893,16.3330001831
12894,16.3040008545
12895,15.7309999466
12896,15.7770004272
12897,16.468000412
12898,16.7469997406
12899,16.7469997406
12900,16.7469997406
12901,16.468000412
12902,16.468000412
12903,15.3970003128
12904,14.6020002365
12922,14.9469995499
12923,15.779999733
12924,15.9060001373
12925,16.3330001831
12926,16.3330001831
12927,16.3330001831
12928,16.3040008545
12929,15.7309999466
12930,15.7770004272
12931,16.468000412
12932,16.7469997406
12933,16.7469997406
12934,16.7469997406
12935,16.468000412
12936,16.468000412
12937,16.7469997406
12938,16.7469997406
12939,16.7469997406
12940,16.1650009155
12941,15.8100004196
12942,15.8100004196
12960,13.9770002365
12961,13.9770002365
12962,13.9770002365
12964,15.3280000687
12965,15.4370002747
12966,15.7069997787
12967,15.8059997559
12968,16.468000412
12969,16.468000412
12970,16.468000412
12971,16.7469997406
12972,16.7469997406
12973,16.7469997406
12974,16.1650009155
12975,15.9350004196
12976,15.8100004196
13001,15.1490001678
13002,15.4739999771
13003,16.1879997253
13004,16.1879997253
13005,16.7469997406
13006,16.7469997406
13007,16.7469997406
13008,16.1650009155
13009,15.9350004196
13010,15.8100004196
13037,15.4549999237
13038,15.8039999008
13039,16.454000473
13040,16.454000473
13041,16.454000473
13042,15.9350004196
13043,15.9350004196
13044,14.1490001678
13045,13.9119997025
13046,13.9119997025
13637,14.9040002823
13638,14.9040002823
13639,14.9040002823
13641,13.8879995346
13642,13.8879995346
13643,13.8879995346
13645,15.0830001831
13646,15.0830001831
13647,15.0830001831
13648,14.9289999008
13670,16.920999527
13671,16.920999527
13672,16.920999527
13673,16.9130001068
13674,17.0149993896
13675,17.8020000458
13676,17.8020000458
13677,17.8020000458
13678,16.3129997253
13679,16.5760002136
13680,18.2569999695
13681,18.2569999695
13682,18.2569999695
13683,16.6180000305
13704,16.920999527
13705,20.295999527
13706,20.295999527
13707,20.295999527
13708,19.2619991302
13709,19.2619991302
13710,19.2619991302
13711,18.5690002441
13712,18.2569999695
13713,18.2569999695
13714,18.2569999695
13715,18.2569999695
13716,18.2569999695
13717,18.0209999084
13718,17.1620006561
13738,16.920999527
13739,20.295999527
13740,20.295999527
13741,20.295999527
13742,19.2619991302
13743,19.2619991302
13744,19.2619991302
13745,18.5690002441
13746,18.2569999695
13747,18.2569999695
13748,18.2569999695
13749,18.2569999695
13750,18.2569999695
13751,18.0209999084
13752,17.216999054
13753,16.7469997406
13754,15.2410001755
13755,14.1280002594
13772,15.6689996719
13773,20.295999527
13774,20.295999527
13775,20.295999527
13776,19.2619991302
13777,19.2619991302
13778,19.2619991302
13779,18.5690002441
13780,18.2569999695
13781,18.2569999695
13782,18.0209999084
13783,18.0209999084
13784,18.0209999084
13785,18.0209999084
13786,17.357000351
13787,16.7469997406
13788,16.7469997406
13789,16.7469997406
13790,16.1650009155
13791,15.8100004196
13792,15.8100004196
13793,15.8100004196
13806,15.6689996719
13807,15.6689996719
13808,18.8490009308
13809,18.8490009308
13810,18.8490009308
13811,16.6140003204
13812,16.6140003204
13813,16.8320007324
13814,18.0209999084
13815,18.0209999084
13816,18.0209999084
13817,17.875
13818,17.5450000763
13819,17.5450000763
13820,17.357000351
13821,16.7469997406
13822,16.7469997406
13823,16.7469997406
13824,16.454000473
13825,16.454000473
13826,16.454000473
13827,15.8100004196
13845,14.1079998016
