,scores,cavity
1825,17.55500030517578,1
1854,18.645000457763672,1
2579,17.55500030517578,1
2580,17.55500030517578,1
2603,17.55500030517578,1
2604,18.767000198364258,1
2605,17.55500030517578,1
2606,18.586000442504883,1
2607,18.645000457763672,1
2629,17.55500030517578,1
2630,17.55500030517578,1
2631,17.55500030517578,1
2632,19.20400047302246,1
2633,19.176000595092773,1
2655,17.55500030517578,1
2656,17.55500030517578,1
2657,17.55500030517578,1
2658,18.645000457763672,1
2659,18.645000457763672,1
2660,18.645000457763672,1
2661,18.645000457763672,1
2682,17.55500030517578,1
2683,17.55500030517578,1
2684,18.645000457763672,1
2685,18.645000457763672,1
2686,18.645000457763672,1
2687,18.645000457763672,1
2711,18.645000457763672,1
2712,18.645000457763672,1
2713,18.645000457763672,1
3357,18.767000198364258,1
3360,18.586000442504883,1
3382,18.767000198364258,1
3383,18.767000198364258,1
3384,18.767000198364258,1
3385,19.20400047302246,1
3408,18.767000198364258,1
3409,18.767000198364258,1
3410,19.20400047302246,1
3411,19.20400047302246,1
3434,18.767000198364258,1
3435,18.767000198364258,1
3436,19.20400047302246,1
3437,19.20400047302246,1
3462,19.20400047302246,1
3463,19.20400047302246,1
3489,19.20400047302246,1
3490,19.20400047302246,1
3516,18.645000457763672,1
6535,17.91900062561035,1
6536,17.91900062561035,1
6562,19.399999618530273,1
7057,18.024999618530273,1
7341,17.91900062561035,1
7342,17.91900062561035,1
7368,19.399999618530273,1
7369,19.399999618530273,1
7395,19.399999618530273,1
7403,17.97800064086914,1
7429,22.726999282836914,1
7430,17.97800064086914,1
7454,23.040000915527344,1
7455,30.718000411987305,1
7456,18.773000717163086,1
7479,21.945999145507812,1
7480,22.541000366210938,1
7481,26.304000854492188,1
7482,20.974000930786133,1
7505,19.68000030517578,1
7506,19.652999877929688,1
7507,18.285999298095703,1
7508,18.285999298095703,1
7531,18.285999298095703,1
7532,18.285999298095703,1
7533,18.285999298095703,1
7811,19.325000762939453,1
7835,21.107999801635742,1
7836,21.969999313354492,1
7837,20.075000762939453,1
7838,18.607999801635742,1
7860,17.006999969482422,1
7861,18.30900001525879,1
7862,23.06100082397461,1
7863,21.632999420166016,1
7887,18.024999618530273,1
7888,18.30900001525879,1
7889,18.30900001525879,1
7890,18.30900001525879,1
7891,18.024999618530273,1
7914,18.024999618530273,1
7915,18.024999618530273,1
7916,18.024999618530273,1
8121,17.91900062561035,1
8146,17.91900062561035,1
8147,19.399999618530273,1
8148,17.91900062561035,1
8174,19.399999618530273,1
8175,19.399999618530273,1
8181,18.464000701904297,1
8182,22.726999282836914,1
8183,22.726999282836914,1
8184,22.726999282836914,1
8207,23.040000915527344,1
8208,30.718000411987305,1
8209,30.718000411987305,1
8210,30.718000411987305,1
8211,22.726999282836914,1
8232,23.040000915527344,1
8233,30.718000411987305,1
8234,30.718000411987305,1
8235,30.718000411987305,1
8236,30.718000411987305,1
8237,30.718000411987305,1
8238,18.773000717163086,1
8258,23.040000915527344,1
8259,30.718000411987305,1
8260,30.718000411987305,1
8261,30.718000411987305,1
8262,30.718000411987305,1
8263,30.718000411987305,1
8264,20.974000930786133,1
8284,23.040000915527344,1
8285,30.718000411987305,1
8286,30.718000411987305,1
8287,30.718000411987305,1
8288,30.718000411987305,1
8289,30.718000411987305,1
8290,20.974000930786133,1
8309,21.945999145507812,1
8310,22.541000366210938,1
8311,26.304000854492188,1
8312,30.718000411987305,1
8313,30.718000411987305,1
8314,30.718000411987305,1
8315,26.304000854492188,1
8316,20.974000930786133,1
8335,19.68000030517578,1
8336,21.945999145507812,1
8337,22.541000366210938,1
8338,26.304000854492188,1
8339,26.304000854492188,1
8340,26.304000854492188,1
8341,20.974000930786133,1
8362,19.68000030517578,1
8363,19.68000030517578,1
8364,19.68000030517578,1
8365,19.652999877929688,1
8390,16.81999969482422,1
8588,21.107999801635742,1
8589,21.969999313354492,1
8590,21.969999313354492,1
8591,21.969999313354492,1
8592,20.075000762939453,1
8614,21.969999313354492,1
8615,23.06100082397461,1
8616,23.06100082397461,1
8617,23.06100082397461,1
8618,21.969999313354492,1
8619,20.075000762939453,1
8640,23.06100082397461,1
8641,23.06100082397461,1
8642,23.333999633789062,1
8643,23.06100082397461,1
8644,23.06100082397461,1
8645,21.632999420166016,1
8666,23.06100082397461,1
8667,23.06100082397461,1
8668,24.680999755859375,1
8669,23.06100082397461,1
8670,23.06100082397461,1
8671,21.632999420166016,1
8672,18.607999801635742,1
8692,23.06100082397461,1
8693,23.06100082397461,1
8694,23.06100082397461,1
8695,23.06100082397461,1
8696,23.06100082397461,1
8697,21.632999420166016,1
8718,17.761999130249023,1
8719,23.06100082397461,1
8720,23.06100082397461,1
8721,23.06100082397461,1
8722,21.632999420166016,1
8723,18.024999618530273,1
8746,16.437000274658203,1
8747,16.488000869750977,1
8748,16.488000869750977,1
8774,16.488000869750977,1
8775,16.488000869750977,1
8951,17.91900062561035,1
8952,17.91900062561035,1
8953,18.229999542236328,1
8954,17.91900062561035,1
8977,19.399999618530273,1
8978,19.399999618530273,1
8979,19.399999618530273,1
8980,19.399999618530273,1
8981,19.399999618530273,1
8987,22.726999282836914,1
8988,22.726999282836914,1
8989,22.726999282836914,1
8990,22.726999282836914,1
8991,22.726999282836914,1
9012,23.040000915527344,1
9013,30.718000411987305,1
9014,30.718000411987305,1
9015,30.718000411987305,1
9016,30.718000411987305,1
9017,30.718000411987305,1
9018,18.773000717163086,1
9028,18.229999542236328,1
9038,23.040000915527344,1
9039,30.718000411987305,1
9040,30.718000411987305,1
9041,30.718000411987305,1
9042,30.718000411987305,1
9043,30.718000411987305,1
9044,20.974000930786133,1
9064,23.040000915527344,1
9065,30.718000411987305,1
9066,30.718000411987305,1
9067,30.718000411987305,1
9068,30.718000411987305,1
9069,30.718000411987305,1
9070,20.974000930786133,1
9090,23.040000915527344,1
9091,30.718000411987305,1
9092,30.718000411987305,1
9093,30.718000411987305,1
9094,30.718000411987305,1
9095,30.718000411987305,1
9096,20.974000930786133,1
9115,21.945999145507812,1
9116,23.040000915527344,1
9117,30.718000411987305,1
9118,30.718000411987305,1
9119,30.718000411987305,1
9120,30.718000411987305,1
9121,30.718000411987305,1
9122,20.974000930786133,1
9141,21.945999145507812,1
9142,22.541000366210938,1
9143,26.304000854492188,1
9144,26.304000854492188,1
9145,26.304000854492188,1
9146,26.304000854492188,1
9147,26.304000854492188,1
9148,20.974000930786133,1
9168,19.697999954223633,1
9169,19.697999954223633,1
9170,19.697999954223633,1
9171,19.68000030517578,1
9172,19.652999877929688,1
9194,19.52899932861328,1
