,scores,cavity
1747,25.399999618530273,1
1748,26.552000045776367,1
2340,25.399999618530273,1
2341,26.552000045776367,1
2342,26.552000045776367,1
2343,26.552000045776367,1
2366,25.399999618530273,1
2367,26.552000045776367,1
2368,26.860000610351562,1
2369,26.552000045776367,1
2370,26.552000045776367,1
2371,13.276000022888184,1
2393,25.399999618530273,1
2394,26.552000045776367,1
2395,32.428001403808594,1
2396,31.305999755859375,1
2397,26.552000045776367,1
2398,13.276000022888184,1
2420,12.699999809265137,1
2421,13.276000022888184,1
2422,15.144000053405762,1
2423,14.553999900817871,1
2424,13.276000022888184,1
2425,13.276000022888184,1
2448,12.699999809265137,1
2449,13.720999717712402,1
2450,13.276000022888184,1
2451,13.276000022888184,1
2961,26.860000610351562,1
2962,26.860000610351562,1
2963,26.860000610351562,1
2964,25.540000915527344,1
2987,26.860000610351562,1
2988,32.428001403808594,1
2989,32.428001403808594,1
2990,32.428001403808594,1
2991,31.305999755859375,1
2992,13.276000022888184,1
3014,32.428001403808594,1
3015,32.428001403808594,1
3016,32.428001403808594,1
3017,32.428001403808594,1
3018,32.428001403808594,1
3019,15.652999877929688,1
3041,32.428001403808594,1
3042,32.428001403808594,1
3043,34.99800109863281,1
3044,34.902000427246094,1
3045,32.428001403808594,1
3046,15.652999877929688,1
3068,16.214000701904297,1
3069,16.214000701904297,1
3070,16.385000228881836,1
3071,16.263999938964844,1
3072,16.214000701904297,1
3073,15.652999877929688,1
3095,15.144000053405762,1
3096,16.214000701904297,1
3097,16.214000701904297,1
3098,16.214000701904297,1
3099,15.652999877929688,1
3100,14.553999900817871,1
3122,13.720999717712402,1
3123,15.144000053405762,1
3124,15.144000053405762,1
3125,15.144000053405762,1
3126,14.553999900817871,1
3150,13.720999717712402,1
3151,13.720999717712402,1
3152,13.720999717712402,1
3566,22.802000045776367,1
3567,22.802000045776367,1
3608,26.860000610351562,1
3609,31.84600067138672,1
3610,31.84600067138672,1
3611,31.84600067138672,1
3612,28.621999740600586,1
3613,12.770000457763672,1
3635,32.428001403808594,1
3636,34.99800109863281,1
3637,34.99800109863281,1
3638,34.99800109863281,1
3639,34.902000427246094,1
3640,15.652999877929688,1
3662,34.99800109863281,1
3663,34.99800109863281,1
3664,34.99800109863281,1
3665,34.99800109863281,1
3666,34.99800109863281,1
3667,17.451000213623047,1
3688,25.399999618530273,1
3689,34.99800109863281,1
3690,34.99800109863281,1
3691,34.99800109863281,1
3692,34.99800109863281,1
3693,34.99800109863281,1
3694,17.451000213623047,1
3695,13.276000022888184,1
3715,12.430000305175781,1
3716,17.499000549316406,1
3717,17.499000549316406,1
3718,17.499000549316406,1
3719,17.499000549316406,1
3720,17.499000549316406,1
3721,17.451000213623047,1
3742,11.821999549865723,1
3743,16.385000228881836,1
3744,17.499000549316406,1
3745,17.499000549316406,1
3746,17.499000549316406,1
3747,17.451000213623047,1
3748,16.263999938964844,1
3770,15.144000053405762,1
3771,16.385000228881836,1
3772,16.385000228881836,1
3773,16.385000228881836,1
3774,16.263999938964844,1
3775,14.553999900817871,1
3797,13.720999717712402,1
3798,13.720999717712402,1
3799,13.720999717712402,1
3800,13.720999717712402,1
3801,13.720999717712402,1
3826,11.821999549865723,1
4187,23.368000030517578,1
4188,23.368000030517578,1
4189,23.368000030517578,1
4214,24.134000778198242,1
4215,24.134000778198242,1
4216,24.134000778198242,1
4217,23.368000030517578,1
4231,13.430000305175781,1
4232,12.770000457763672,1
4256,15.92300033569336,1
4257,16.913000106811523,1
4258,16.913000106811523,1
4259,16.913000106811523,1
4260,15.92300033569336,1
4261,14.310999870300293,1
4283,17.499000549316406,1
4284,17.499000549316406,1
4285,17.499000549316406,1
4286,17.499000549316406,1
4287,17.499000549316406,1
4288,17.451000213623047,1
4296,13.178000450134277,1
4309,13.430000305175781,1
4310,17.499000549316406,1
4311,17.499000549316406,1
4312,17.499000549316406,1
4313,17.499000549316406,1
4314,17.499000549316406,1
4315,17.451000213623047,1
4316,12.770000457763672,1
4336,16.214000701904297,1
4337,17.499000549316406,1
4338,17.499000549316406,1
4339,17.499000549316406,1
4340,17.499000549316406,1
4341,17.499000549316406,1
4342,17.451000213623047,1
4343,15.652999877929688,1
4363,15.144000053405762,1
4364,17.499000549316406,1
4365,17.499000549316406,1
4366,17.499000549316406,1
4367,17.499000549316406,1
4368,17.499000549316406,1
4369,17.451000213623047,1
4370,14.553999900817871,1
4390,13.720999717712402,1
4391,17.499000549316406,1
4392,17.499000549316406,1
4393,17.499000549316406,1
4394,17.499000549316406,1
4395,17.499000549316406,1
4396,17.451000213623047,1
4418,16.385000228881836,1
4419,16.385000228881836,1
4420,16.385000228881836,1
4421,16.385000228881836,1
4422,16.385000228881836,1
4423,16.263999938964844,1
4445,13.720999717712402,1
4446,13.720999717712402,1
4447,15.144000053405762,1
4448,14.553999900817871,1
4449,13.720999717712402,1
4474,13.720999717712402,1
4835,23.368000030517578,1
4836,23.368000030517578,1
4837,23.368000030517578,1
4838,23.368000030517578,1
4862,25.450000762939453,1
4863,25.450000762939453,1
4864,25.450000762939453,1
4865,24.134000778198242,1
4879,15.92300033569336,1
4880,14.310999870300293,1
4889,13.178000450134277,1
4890,13.178000450134277,1
4891,13.178000450134277,1
4904,16.913000106811523,1
4905,16.913000106811523,1
4906,17.499000549316406,1
4907,17.451000213623047,1
4908,16.913000106811523,1
4909,14.310999870300293,1
4916,13.178000450134277,1
4917,13.178000450134277,1
4918,13.178000450134277,1
4919,13.178000450134277,1
4931,17.499000549316406,1
4932,17.499000549316406,1
4933,17.499000549316406,1
4934,17.499000549316406,1
4935,17.499000549316406,1
