,scores,cavity
245,15.553000450134277,1
255,15.032999992370605,1
324,15.553000450134277,1
325,15.553000450134277,1
326,15.553000450134277,1
333,15.553000450134277,1
334,15.553000450134277,1
335,15.553000450134277,1
336,15.553000450134277,1
337,15.553000450134277,1
343,15.553000450134277,1
344,15.553000450134277,1
345,15.553000450134277,1
346,15.553000450134277,1
347,15.553000450134277,1
354,15.553000450134277,1
355,15.83899974822998,1
356,15.553000450134277,1
357,15.553000450134277,1
365,15.553000450134277,1
366,15.553000450134277,1
367,15.032999992370605,1
375,15.032999992370605,1
376,15.032999992370605,1
423,15.553000450134277,1
424,15.553000450134277,1
425,15.553000450134277,1
426,15.553000450134277,1
427,15.553000450134277,1
432,13.460000038146973,1
433,15.553000450134277,1
434,15.83899974822998,1
435,15.83899974822998,1
436,15.83899974822998,1
437,15.553000450134277,1
443,15.83899974822998,1
444,15.83899974822998,1
445,15.83899974822998,1
446,15.83899974822998,1
447,15.83899974822998,1
455,15.83899974822998,1
456,15.83899974822998,1
457,15.83899974822998,1
466,15.83899974822998,1
467,15.83899974822998,1
476,15.83899974822998,1
477,15.032999992370605,1
523,15.553000450134277,1
524,15.553000450134277,1
525,15.553000450134277,1
526,15.553000450134277,1
527,15.553000450134277,1
533,15.83899974822998,1
534,15.83899974822998,1
535,15.83899974822998,1
536,15.83899974822998,1
537,15.83899974822998,1
543,15.83899974822998,1
544,15.83899974822998,1
545,15.83899974822998,1
546,15.83899974822998,1
547,15.83899974822998,1
556,15.83899974822998,1
557,15.83899974822998,1
566,15.83899974822998,1
567,15.83899974822998,1
576,15.83899974822998,1
577,15.83899974822998,1
2296,7.0980000495910645,1
2325,6.995999813079834,1
2326,8.053000450134277,1
2327,8.053000450134277,1
2328,6.8979997634887695,1
2356,6.995999813079834,1
2357,8.399999618530273,1
2358,8.399999618530273,1
2359,8.399999618530273,1
2360,7.2230000495910645,1
2387,6.995999813079834,1
2388,8.399999618530273,1
2389,8.399999618530273,1
2390,8.399999618530273,1
2391,7.2230000495910645,1
2419,8.399999618530273,1
2420,8.399999618530273,1
2421,8.399999618530273,1
2422,6.8979997634887695,1
