,scores,cavity
1601,14.802000045776367,1
1627,15.140999794006348,1
1653,15.140999794006348,1
1679,15.140999794006348,1
1686,14.520999908447266,1
1687,13.027000427246094,1
1712,14.520999908447266,1
1713,13.027000427246094,1
1737,14.520999908447266,1
1738,14.520999908447266,1
1757,13.767000198364258,1
1758,14.430000305175781,1
1759,14.430000305175781,1
1761,14.520999908447266,1
1762,14.520999908447266,1
1763,14.520999908447266,1
1783,14.430000305175781,1
1784,14.430000305175781,1
1785,14.430000305175781,1
1786,14.430000305175781,1
1787,14.430000305175781,1
1809,14.430000305175781,1
1810,14.430000305175781,1
1811,14.430000305175781,1
1812,14.430000305175781,1
1813,14.430000305175781,1
1835,14.430000305175781,1
1836,14.430000305175781,1
1837,14.430000305175781,1
1838,14.430000305175781,1
1839,14.430000305175781,1
1862,14.430000305175781,1
1863,14.430000305175781,1
1864,14.430000305175781,1
2355,18.46299934387207,1
2356,18.21500015258789,1
2407,14.430000305175781,1
2408,14.430000305175781,1
2409,14.430000305175781,1
2410,14.430000305175781,1
2433,14.430000305175781,1
2434,14.430000305175781,1
2435,14.430000305175781,1
2436,14.430000305175781,1
2437,14.430000305175781,1
2459,14.430000305175781,1
2460,14.430000305175781,1
2461,14.430000305175781,1
2462,14.430000305175781,1
2463,14.430000305175781,1
2485,14.430000305175781,1
2486,14.430000305175781,1
2487,14.430000305175781,1
2488,14.430000305175781,1
2489,14.430000305175781,1
2511,14.430000305175781,1
2512,14.430000305175781,1
2513,14.430000305175781,1
2514,14.430000305175781,1
2515,14.430000305175781,1
2900,13.866000175476074,1
2926,15.486000061035156,1
2951,15.418000221252441,1
2952,18.46299934387207,1
2953,18.46299934387207,1
2954,18.46299934387207,1
2955,18.21500015258789,1
2977,18.46299934387207,1
2978,18.46299934387207,1
2979,18.683000564575195,1
2980,18.46299934387207,1
2981,18.46299934387207,1
2982,18.21500015258789,1
3003,18.46299934387207,1
3004,18.46299934387207,1
3005,19.172000885009766,1
3006,18.46299934387207,1
3007,18.46299934387207,1
3008,18.21500015258789,1
3029,18.46299934387207,1
3030,18.46299934387207,1
3031,18.46299934387207,1
3032,18.46299934387207,1
3033,18.46299934387207,1
3034,18.21500015258789,1
3056,18.46299934387207,1
3057,18.46299934387207,1
3058,18.46299934387207,1
3059,18.21500015258789,1
3061,14.430000305175781,1
3082,13.767000198364258,1
3083,14.79699993133545,1
3084,14.79699993133545,1
3085,14.79699993133545,1
3086,14.430000305175781,1
3087,14.430000305175781,1
3088,13.767000198364258,1
3108,14.430000305175781,1
3109,14.430000305175781,1
3110,14.430000305175781,1
3111,14.430000305175781,1
3112,14.430000305175781,1
3113,14.430000305175781,1
3114,14.430000305175781,1
3135,14.430000305175781,1
3136,14.430000305175781,1
3137,14.430000305175781,1
3138,14.430000305175781,1
3139,14.430000305175781,1
3161,14.430000305175781,1
3162,14.430000305175781,1
3163,14.430000305175781,1
3164,14.430000305175781,1
3165,14.430000305175781,1
3189,14.430000305175781,1
3524,13.866000175476074,1
3550,15.486000061035156,1
3575,15.418000221252441,1
3576,18.683000564575195,1
3577,18.683000564575195,1
3578,18.683000564575195,1
3601,18.683000564575195,1
3602,19.172000885009766,1
3603,19.172000885009766,1
3604,19.172000885009766,1
3605,18.683000564575195,1
3606,18.21500015258789,1
