,scores,cavity
202,19.371999740600586,1
273,19.371999740600586,1
274,19.371999740600586,1
275,19.371999740600586,1
282,19.371999740600586,1
283,19.371999740600586,1
284,19.371999740600586,1
291,19.371999740600586,1
292,19.371999740600586,1
293,19.371999740600586,1
346,19.371999740600586,1
354,19.371999740600586,1
355,19.371999740600586,1
356,19.371999740600586,1
362,19.371999740600586,1
363,19.371999740600586,1
364,19.371999740600586,1
365,19.371999740600586,1
366,19.371999740600586,1
372,19.371999740600586,1
373,19.371999740600586,1
374,19.371999740600586,1
382,19.371999740600586,1
435,19.371999740600586,1
436,19.371999740600586,1
437,19.371999740600586,1
444,19.371999740600586,1
445,19.371999740600586,1
446,19.371999740600586,1
453,19.371999740600586,1
454,19.371999740600586,1
455,19.371999740600586,1
526,19.371999740600586,1
