,scores,cavity
1103,16.46500015258789,1
1516,16.46500015258789,1
1517,16.46500015258789,1
1518,16.46500015258789,1
1533,16.46500015258789,1
1534,16.46500015258789,1
1535,16.46500015258789,1
1536,16.46500015258789,1
1537,16.46500015258789,1
1551,16.46500015258789,1
1552,16.46500015258789,1
1553,16.665000915527344,1
1554,16.46500015258789,1
1555,16.46500015258789,1
1569,16.46500015258789,1
1570,16.46500015258789,1
1571,16.46500015258789,1
1572,16.46500015258789,1
1573,16.46500015258789,1
1588,16.46500015258789,1
1589,16.46500015258789,1
1590,16.46500015258789,1
1965,16.46500015258789,1
1966,16.665000915527344,1
1967,16.665000915527344,1
1968,16.665000915527344,1
1969,16.46500015258789,1
1983,16.665000915527344,1
1984,16.665000915527344,1
1985,16.665000915527344,1
1986,16.665000915527344,1
1987,16.665000915527344,1
2001,16.665000915527344,1
2002,16.665000915527344,1
2003,16.665000915527344,1
2004,16.665000915527344,1
2005,16.665000915527344,1
2019,16.665000915527344,1
2020,16.665000915527344,1
2021,16.665000915527344,1
2022,20.531999588012695,1
2023,16.665000915527344,1
2037,16.46500015258789,1
2038,16.665000915527344,1
2039,16.665000915527344,1
2415,16.665000915527344,1
2416,16.665000915527344,1
2419,16.665000915527344,1
2433,16.665000915527344,1
2434,16.665000915527344,1
2435,20.531999588012695,1
2436,20.531999588012695,1
2437,20.531999588012695,1
2450,16.46500015258789,1
2451,16.665000915527344,1
2452,20.531999588012695,1
2453,20.531999588012695,1
2454,20.531999588012695,1
2455,20.531999588012695,1
2456,20.531999588012695,1
2469,16.665000915527344,1
2470,20.531999588012695,1
2471,20.531999588012695,1
2472,20.531999588012695,1
2473,20.531999588012695,1
2474,20.531999588012695,1
2487,16.665000915527344,1
2488,20.531999588012695,1
2489,20.531999588012695,1
2490,20.531999588012695,1
2491,20.531999588012695,1
2492,20.531999588012695,1
2507,20.531999588012695,1
2865,16.665000915527344,1
2883,16.665000915527344,1
2884,20.531999588012695,1
2885,20.531999588012695,1
2886,20.531999588012695,1
