,scores,cavity
179,18.94499969482422,1
243,18.94499969482422,1
244,18.94499969482422,1
251,18.94499969482422,1
252,18.94499969482422,1
258,18.94499969482422,1
259,18.94499969482422,1
260,18.94499969482422,1
307,18.94499969482422,1
314,18.94499969482422,1
315,18.94499969482422,1
316,18.94499969482422,1
323,18.94499969482422,1
324,18.94499969482422,1
325,18.94499969482422,1
330,18.94499969482422,1
331,18.94499969482422,1
332,18.94499969482422,1
339,18.94499969482422,1
386,18.94499969482422,1
387,18.94499969482422,1
388,18.94499969482422,1
394,18.94499969482422,1
395,18.94499969482422,1
396,18.94499969482422,1
402,18.94499969482422,1
403,18.94499969482422,1
404,18.94499969482422,1
467,18.94499969482422,1
776,36.38800048828125,1
777,36.38800048828125,1
778,36.38800048828125,1
779,36.38800048828125,1
780,36.38800048828125,1
785,36.43199920654297,1
786,36.43199920654297,1
787,36.43199920654297,1
788,36.43199920654297,1
789,36.43199920654297,1
831,36.38800048828125,1
832,36.38800048828125,1
833,36.38800048828125,1
839,36.38800048828125,1
840,36.43199920654297,1
841,36.43199920654297,1
842,36.43199920654297,1
843,36.38800048828125,1
