,scores,cavity
2675,14.958000183105469,1
2676,15.746999740600586,1
2677,15.746999740600586,1
2678,15.746999740600586,1
2706,15.746999740600586,1
2707,15.746999740600586,1
2708,15.746999740600586,1
2709,15.746999740600586,1
2716,25.847999572753906,1
2718,25.47599983215332,1
2737,15.746999740600586,1
2738,15.746999740600586,1
2739,15.746999740600586,1
2767,15.746999740600586,1
2768,15.746999740600586,1
2769,15.746999740600586,1
2797,15.746999740600586,1
2798,15.746999740600586,1
2826,12.017000198364258,1
2827,12.017000198364258,1
2828,12.017000198364258,1
2925,10.567999839782715,1
2926,8.468000411987305,1
2954,13.8149995803833,1
2955,15.595999717712402,1
2956,10.48799991607666,1
2957,8.468000411987305,1
2982,11.824000358581543,1
2983,12.628999710083008,1
2984,14.887999534606934,1
2985,10.326000213623047,1
2986,8.468000411987305,1
2987,8.468000411987305,1
3013,8.468000411987305,1
3014,8.468000411987305,1
3015,8.468000411987305,1
3016,8.468000411987305,1
3017,8.468000411987305,1
3044,8.468000411987305,1
3045,8.468000411987305,1
3046,8.468000411987305,1
3705,38.77199935913086,1
3706,38.77199935913086,1
3707,38.77199935913086,1
3708,38.2140007019043,1
3709,25.47599983215332,1
3724,14.958000183105469,1
3725,15.746999740600586,1
3726,15.746999740600586,1
3727,15.746999740600586,1
3728,31.493999481201172,1
3729,31.493999481201172,1
3734,38.77199935913086,1
3735,38.77199935913086,1
3736,38.77199935913086,1
3737,38.77199935913086,1
3738,38.77199935913086,1
3739,25.47599983215332,1
3753,14.664999961853027,1
3754,14.958000183105469,1
3755,15.746999740600586,1
3756,15.746999740600586,1
3757,15.746999740600586,1
3758,31.493999481201172,1
3759,31.493999481201172,1
3764,38.77199935913086,1
3765,38.77199935913086,1
3766,38.77199935913086,1
3767,38.77199935913086,1
3768,38.77199935913086,1
3769,25.47599983215332,1
3783,14.664999961853027,1
3784,14.958000183105469,1
3785,15.746999740600586,1
3786,15.746999740600586,1
3787,15.746999740600586,1
3788,31.493999481201172,1
3789,31.493999481201172,1
3794,38.77199935913086,1
3795,38.77199935913086,1
3796,38.77199935913086,1
3797,38.77199935913086,1
3798,38.77199935913086,1
3799,25.47599983215332,1
3813,14.664999961853027,1
3814,14.958000183105469,1
3815,15.746999740600586,1
3816,15.746999740600586,1
3817,15.746999740600586,1
3818,15.746999740600586,1
3819,15.746999740600586,1
3825,25.847999572753906,1
3826,25.847999572753906,1
3827,25.847999572753906,1
3828,25.47599983215332,1
3829,25.47599983215332,1
3844,14.958000183105469,1
3845,15.746999740600586,1
3846,15.746999740600586,1
3847,15.746999740600586,1
3848,15.746999740600586,1
3849,15.746999740600586,1
3943,13.8149995803833,1
3944,15.595999717712402,1
3945,15.595999717712402,1
3946,15.595999717712402,1
3972,13.8149995803833,1
3973,15.595999717712402,1
3974,15.595999717712402,1
3975,15.595999717712402,1
3976,15.595999717712402,1
3977,15.595999717712402,1
4002,14.887999534606934,1
4003,15.595999717712402,1
4004,15.595999717712402,1
4005,15.595999717712402,1
4006,15.595999717712402,1
4007,15.595999717712402,1
4032,14.887999534606934,1
4033,15.595999717712402,1
4034,15.595999717712402,1
4035,15.595999717712402,1
4036,15.595999717712402,1
4037,15.595999717712402,1
4062,14.887999534606934,1
4063,14.887999534606934,1
4064,15.595999717712402,1
4065,15.595999717712402,1
4066,15.595999717712402,1
4093,14.887999534606934,1
4094,14.887999534606934,1
4095,14.887999534606934,1
4746,14.958000183105469,1
4747,15.746999740600586,1
4748,26.850000381469727,1
4754,38.77199935913086,1
4755,38.77199935913086,1
4756,38.77199935913086,1
4757,38.77199935913086,1
4758,38.77199935913086,1
4759,25.47599983215332,1
4773,14.664999961853027,1
4774,14.958000183105469,1
4775,15.746999740600586,1
4776,15.746999740600586,1
4777,15.746999740600586,1
4778,31.493999481201172,1
4779,31.493999481201172,1
4784,38.77199935913086,1
4785,38.77199935913086,1
4786,38.77199935913086,1
4787,38.77199935913086,1
4788,38.77199935913086,1
4789,25.47599983215332,1
4803,14.664999961853027,1
4804,14.958000183105469,1
4805,15.746999740600586,1
4806,15.746999740600586,1
4807,15.746999740600586,1
4808,31.493999481201172,1
4809,31.493999481201172,1
4814,38.77199935913086,1
4815,38.77199935913086,1
4816,38.77199935913086,1
4817,38.77199935913086,1
4818,38.77199935913086,1
4819,25.47599983215332,1
4833,14.958000183105469,1
4834,15.746999740600586,1
4835,15.746999740600586,1
4836,15.746999740600586,1
4837,15.746999740600586,1
4838,31.493999481201172,1
4839,31.493999481201172,1
4840,31.493999481201172,1
4844,38.77199935913086,1
