,scores,cavity
711,11.876999855041504,1
976,11.876999855041504,1
977,11.876999855041504,1
978,11.876999855041504,1
994,11.876999855041504,1
995,11.876999855041504,1
996,11.876999855041504,1
997,11.876999855041504,1
998,11.876999855041504,1
1013,11.876999855041504,1
1014,11.876999855041504,1
1015,12.468999862670898,1
1016,11.876999855041504,1
1017,11.876999855041504,1
1032,11.876999855041504,1
1033,11.876999855041504,1
1034,14.11299991607666,1
1035,14.208999633789062,1
1036,11.876999855041504,1
1052,11.876999855041504,1
1053,11.876999855041504,1
1054,13.005000114440918,1
1279,11.876999855041504,1
1280,12.468999862670898,1
1281,12.468999862670898,1
1282,12.468999862670898,1
1283,11.876999855041504,1
1298,12.468999862670898,1
1299,14.11299991607666,1
1300,14.208999633789062,1
1301,14.208999633789062,1
1302,14.208999633789062,1
1303,11.678999900817871,1
1317,14.11299991607666,1
1318,14.208999633789062,1
1319,14.208999633789062,1
1320,14.208999633789062,1
1321,14.208999633789062,1
1322,14.208999633789062,1
1336,14.11299991607666,1
1337,14.208999633789062,1
1338,14.208999633789062,1
1339,14.208999633789062,1
1340,14.208999633789062,1
1341,14.208999633789062,1
1355,14.11299991607666,1
1356,14.208999633789062,1
1357,14.255999565124512,1
1358,14.208999633789062,1
1359,14.208999633789062,1
1360,14.208999633789062,1
1375,14.11299991607666,1
1376,14.208999633789062,1
1377,14.208999633789062,1
1378,14.208999633789062,1
1379,13.005000114440918,1
1380,14.168000221252441,1
1381,12.72700023651123,1
1395,13.005000114440918,1
1396,13.005000114440918,1
1397,13.005000114440918,1
1398,13.057000160217285,1
1399,13.793000221252441,1
1400,12.411999702453613,1
1566,11.876999855041504,1
1583,12.468999862670898,1
1584,12.468999862670898,1
1585,12.468999862670898,1
1586,12.468999862670898,1
1587,12.468999862670898,1
1588,11.678999900817871,1
1602,14.11299991607666,1
1603,14.208999633789062,1
1604,14.208999633789062,1
1605,14.208999633789062,1
1606,14.208999633789062,1
1607,14.208999633789062,1
1620,11.876999855041504,1
1621,14.11299991607666,1
1622,14.255999565124512,1
1623,14.255999565124512,1
1624,14.255999565124512,1
1625,14.208999633789062,1
1626,14.208999633789062,1
1640,14.255999565124512,1
1641,14.255999565124512,1
1642,14.255999565124512,1
1643,14.255999565124512,1
1644,14.255999565124512,1
1645,14.208999633789062,1
1646,14.168000221252441,1
1647,14.168000221252441,1
1648,12.72700023651123,1
1659,14.255999565124512,1
1660,14.255999565124512,1
1661,14.255999565124512,1
1662,14.255999565124512,1
1663,14.255999565124512,1
1664,14.208999633789062,1
1665,14.168000221252441,1
1666,14.168000221252441,1
1667,14.168000221252441,1
1668,12.72700023651123,1
1678,14.255999565124512,1
1679,14.255999565124512,1
1680,14.255999565124512,1
1681,14.255999565124512,1
1682,14.255999565124512,1
1683,14.208999633789062,1
1684,14.57699966430664,1
1685,14.168000221252441,1
1686,14.168000221252441,1
1687,12.72700023651123,1
1698,14.255999565124512,1
1699,14.255999565124512,1
1700,14.255999565124512,1
1701,16.739999771118164,1
1702,16.2189998626709,1
1703,14.41100025177002,1
1704,14.168000221252441,1
1705,14.168000221252441,1
1706,12.72700023651123,1
1719,13.057000160217285,1
1720,13.793000221252441,1
1721,14.168000221252441,1
1722,14.168000221252441,1
1723,14.168000221252441,1
1724,13.793000221252441,1
1725,12.411999702453613,1
1739,13.057000160217285,1
1740,13.793000221252441,1
1741,13.793000221252441,1
1742,13.793000221252441,1
1743,12.411999702453613,1
1870,12.468999862670898,1
1871,11.678999900817871,1
1887,12.468999862670898,1
1888,12.468999862670898,1
1889,14.11299991607666,1
1890,14.208999633789062,1
1891,12.468999862670898,1
1892,11.678999900817871,1
1906,14.11299991607666,1
1907,14.208999633789062,1
1908,14.208999633789062,1
1909,14.208999633789062,1
1910,14.208999633789062,1
1911,14.208999633789062,1
1924,12.468999862670898,1
1925,14.255999565124512,1
1926,14.255999565124512,1
1927,14.255999565124512,1
1928,14.255999565124512,1
1929,14.255999565124512,1
1930,14.208999633789062,1
1931,12.901000022888184,1
1943,14.11299991607666,1
1944,14.255999565124512,1
1945,14.255999565124512,1
1946,14.255999565124512,1
1947,14.255999565124512,1
1948,14.255999565124512,1
1949,14.57699966430664,1
1950,14.57699966430664,1
1951,14.57699966430664,1
1952,14.168000221252441,1
1953,12.72700023651123,1
1963,14.255999565124512,1
1964,14.255999565124512,1
1965,14.255999565124512,1
1966,16.739999771118164,1
1967,16.739999771118164,1
1968,16.739999771118164,1
1969,16.2189998626709,1
1970,14.57699966430664,1
1971,14.57699966430664,1
1972,13.064000129699707,1
1982,14.255999565124512,1
1983,14.255999565124512,1
1984,16.739999771118164,1
1985,16.739999771118164,1
1986,16.739999771118164,1
1987,16.739999771118164,1
1988,16.739999771118164,1
1989,16.2189998626709,1
1990,14.57699966430664,1
1991,13.222000122070312,1
1992,11.970000267028809,1
2001,14.255999565124512,1
2002,14.255999565124512,1
2003,16.739999771118164,1
2004,16.739999771118164,1
2005,16.739999771118164,1
2006,16.739999771118164,1
2007,16.739999771118164,1
2008,16.2189998626709,1
2009,14.57699966430664,1
2010,13.222000122070312,1
2011,11.970000267028809,1
2022,16.739999771118164,1
2023,16.739999771118164,1
2024,16.739999771118164,1
2025,16.739999771118164,1
2026,16.739999771118164,1
2027,16.2189998626709,1
2028,14.41100025177002,1
2029,13.222000122070312,1
2030,11.970000267028809,1
2042,16.739999771118164,1
2043,16.739999771118164,1
2044,16.739999771118164,1
2045,16.2189998626709,1
2046,14.41100025177002,1
2047,13.793000221252441,1
2048,12.411999702453613,1
2062,11.586999893188477,1
2063,11.586999893188477,1
2064,11.586999893188477,1
2174,12.175000190734863,1
2194,14.027999877929688,1
2195,12.468999862670898,1
2196,11.678999900817871,1
2210,14.11299991607666,1
2211,14.208999633789062,1
2212,14.255999565124512,1
2213,14.208999633789062,1
2214,14.208999633789062,1
2215,14.208999633789062,1
2228,12.175000190734863,1
2229,14.255999565124512,1
2230,14.255999565124512,1
2231,14.255999565124512,1
2232,14.255999565124512,1
2233,14.255999565124512,1
2234,14.208999633789062,1
2235,14.168000221252441,1
2236,12.72700023651123,1
2247,12.204000473022461,1
2248,14.255999565124512,1
2249,14.255999565124512,1
2250,14.255999565124512,1
2251,14.255999565124512,1
2252,14.57699966430664,1
2253,14.57699966430664,1
2254,14.57699966430664,1
2255,14.57699966430664,1
2256,14.57699966430664,1
2257,13.064000129699707,1
2266,14.255999565124512,1
2267,14.255999565124512,1
2268,14.255999565124512,1
2269,16.739999771118164,1
2270,16.739999771118164,1
2271,16.739999771118164,1
2272,16.739999771118164,1
2273,16.739999771118164,1
2274,16.2189998626709,1
2275,14.57699966430664,1
2276,13.222000122070312,1
2286,14.255999565124512,1
2287,14.255999565124512,1
2288,16.739999771118164,1
2289,16.739999771118164,1
2290,16.739999771118164,1
2291,16.739999771118164,1
2292,16.739999771118164,1
2293,16.2189998626709,1
2294,14.57699966430664,1
2295,14.168000221252441,1
2296,12.72700023651123,1
2305,14.255999565124512,1
2306,14.255999565124512,1
2307,16.739999771118164,1
2308,16.739999771118164,1
2309,16.739999771118164,1
2310,16.739999771118164,1
2311,16.739999771118164,1
2312,16.2189998626709,1
2313,14.57699966430664,1
2314,13.793000221252441,1
2315,12.411999702453613,1
2326,16.739999771118164,1
2327,16.739999771118164,1
2328,16.739999771118164,1
2329,16.739999771118164,1
2330,16.739999771118164,1
2331,16.2189998626709,1
2332,14.57699966430664,1
2333,13.222000122070312,1
2334,11.970000267028809,1
