,scores,cavity
202,20.283000946044922,1
273,20.283000946044922,1
274,20.283000946044922,1
275,20.283000946044922,1
282,20.283000946044922,1
283,20.283000946044922,1
284,20.283000946044922,1
291,20.283000946044922,1
292,20.283000946044922,1
293,20.283000946044922,1
346,20.283000946044922,1
354,20.283000946044922,1
355,20.283000946044922,1
356,20.283000946044922,1
362,20.283000946044922,1
363,20.283000946044922,1
364,20.283000946044922,1
365,20.283000946044922,1
366,20.283000946044922,1
372,20.283000946044922,1
373,20.283000946044922,1
374,20.283000946044922,1
382,20.283000946044922,1
435,20.283000946044922,1
436,20.283000946044922,1
437,20.283000946044922,1
444,20.283000946044922,1
445,20.283000946044922,1
446,20.283000946044922,1
453,20.283000946044922,1
454,20.283000946044922,1
455,20.283000946044922,1
526,20.283000946044922,1
