,scores,cavity
515,21.28499984741211,1
683,21.28499984741211,1
684,21.28499984741211,1
685,21.28499984741211,1
695,21.28499984741211,1
696,21.28499984741211,1
697,21.28499984741211,1
698,21.28499984741211,1
699,21.28499984741211,1
708,21.28499984741211,1
709,21.28499984741211,1
710,21.28499984741211,1
711,21.28499984741211,1
712,21.28499984741211,1
721,21.28499984741211,1
722,21.28499984741211,1
723,21.28499984741211,1
724,21.28499984741211,1
725,21.28499984741211,1
735,21.28499984741211,1
736,21.28499984741211,1
737,21.28499984741211,1
865,20.9689998626709,1
866,20.9689998626709,1
867,20.9689998626709,1
877,21.28499984741211,1
878,21.28499984741211,1
879,21.28499984741211,1
880,21.28499984741211,1
881,21.28499984741211,1
890,21.28499984741211,1
891,21.28499984741211,1
892,21.28499984741211,1
893,21.28499984741211,1
894,21.28499984741211,1
903,21.28499984741211,1
904,21.28499984741211,1
905,21.28499984741211,1
906,21.28499984741211,1
907,21.28499984741211,1
916,21.28499984741211,1
917,21.28499984741211,1
918,21.28499984741211,1
919,21.28499984741211,1
920,21.28499984741211,1
929,21.28499984741211,1
930,21.28499984741211,1
931,21.28499984741211,1
932,21.28499984741211,1
933,21.28499984741211,1
1059,20.9689998626709,1
1060,20.9689998626709,1
1061,21.28499984741211,1
1062,20.9689998626709,1
1063,20.9689998626709,1
1072,21.28499984741211,1
1073,21.28499984741211,1
1074,21.28499984741211,1
1075,21.28499984741211,1
1076,21.28499984741211,1
1085,21.28499984741211,1
1086,21.28499984741211,1
1087,21.28499984741211,1
1088,21.28499984741211,1
1089,21.28499984741211,1
1097,21.28499984741211,1
1098,21.28499984741211,1
1099,21.28499984741211,1
1100,21.28499984741211,1
1101,21.28499984741211,1
1102,21.28499984741211,1
1111,21.28499984741211,1
1112,21.28499984741211,1
1113,21.28499984741211,1
1114,21.28499984741211,1
1115,21.28499984741211,1
1124,21.28499984741211,1
1125,21.28499984741211,1
1126,21.28499984741211,1
1127,21.28499984741211,1
1128,21.28499984741211,1
1139,21.28499984741211,1
1241,21.743999481201172,1
1243,20.9689998626709,1
1253,20.111000061035156,1
1254,23.10099983215332,1
1255,20.9689998626709,1
1256,20.9689998626709,1
1257,20.9689998626709,1
1258,20.9689998626709,1
1267,21.28499984741211,1
1268,21.28499984741211,1
1269,21.28499984741211,1
1270,21.28499984741211,1
1271,21.28499984741211,1
1279,20.9689998626709,1
1280,21.28499984741211,1
1281,21.28499984741211,1
1282,21.28499984741211,1
1283,21.28499984741211,1
1284,21.28499984741211,1
1292,20.108999252319336,1
1293,21.28499984741211,1
1294,21.28499984741211,1
1295,21.28499984741211,1
1296,21.28499984741211,1
1297,21.28499984741211,1
1306,21.28499984741211,1
1307,21.28499984741211,1
1308,21.28499984741211,1
1309,21.28499984741211,1
1310,21.28499984741211,1
1319,21.28499984741211,1
1320,21.28499984741211,1
1321,21.28499984741211,1
1322,21.28499984741211,1
1323,21.28499984741211,1
1334,20.108999252319336,1
1409,21.743999481201172,1
1410,21.743999481201172,1
1411,21.743999481201172,1
1421,21.743999481201172,1
1422,23.10099983215332,1
1423,23.10099983215332,1
1424,23.10099983215332,1
1425,21.743999481201172,1
1433,20.111000061035156,1
1434,23.10099983215332,1
1435,23.10099983215332,1
1436,23.10099983215332,1
1437,23.10099983215332,1
1438,23.10099983215332,1
1446,20.111000061035156,1
1447,23.10099983215332,1
1448,23.10099983215332,1
1449,23.10099983215332,1
1450,23.10099983215332,1
1451,23.10099983215332,1
1452,20.9689998626709,1
1453,20.9689998626709,1
1459,20.111000061035156,1
1460,23.10099983215332,1
1461,23.10099983215332,1
1462,23.10099983215332,1
1463,23.10099983215332,1
1464,23.10099983215332,1
1465,21.28499984741211,1
1466,20.9689998626709,1
1473,20.111000061035156,1
1474,23.10099983215332,1
1475,23.10099983215332,1
1476,23.10099983215332,1
1477,21.28499984741211,1
1478,21.28499984741211,1
1479,21.28499984741211,1
1488,21.28499984741211,1
1489,21.28499984741211,1
1490,21.28499984741211,1
1491,21.28499984741211,1
1492,21.28499984741211,1
1501,21.28499984741211,1
1502,21.28499984741211,1
1503,21.28499984741211,1
1504,21.28499984741211,1
1505,21.28499984741211,1
1514,20.108999252319336,1
1515,21.28499984741211,1
1516,21.28499984741211,1
1517,21.28499984741211,1
1518,20.108999252319336,1
1603,21.743999481201172,1
1604,21.743999481201172,1
1605,21.743999481201172,1
1606,21.743999481201172,1
1607,21.743999481201172,1
1615,20.111000061035156,1
1616,23.10099983215332,1
1617,23.10099983215332,1
1618,23.10099983215332,1
1619,23.10099983215332,1
1620,23.10099983215332,1
1628,20.111000061035156,1
1629,23.10099983215332,1
1630,23.10099983215332,1
1631,23.10099983215332,1
1632,23.10099983215332,1
1633,23.10099983215332,1
1641,20.111000061035156,1
1642,23.10099983215332,1
1643,23.10099983215332,1
1644,23.10099983215332,1
1645,23.10099983215332,1
1646,23.10099983215332,1
1647,20.9689998626709,1
1654,20.111000061035156,1
1655,23.10099983215332,1
1656,23.10099983215332,1
1657,23.10099983215332,1
1658,23.10099983215332,1
1659,23.10099983215332,1
1660,20.9689998626709,1
1661,20.9689998626709,1
1667,20.111000061035156,1
1668,23.10099983215332,1
1669,23.10099983215332,1
1670,23.10099983215332,1
1671,23.10099983215332,1
1672,23.10099983215332,1
1673,20.9689998626709,1
1674,20.9689998626709,1
1683,20.9689998626709,1
1684,20.9689998626709,1
1685,21.28499984741211,1
1686,20.9689998626709,1
1687,20.9689998626709,1
1696,20.108999252319336,1
1697,20.9689998626709,1
1698,20.9689998626709,1
1699,20.9689998626709,1
1700,20.108999252319336,1
1710,20.108999252319336,1
1711,20.108999252319336,1
1712,20.108999252319336,1
1787,21.743999481201172,1
1798,21.743999481201172,1
1799,21.743999481201172,1
1800,23.10099983215332,1
1801,21.743999481201172,1
1802,21.743999481201172,1
1810,20.111000061035156,1
1811,23.10099983215332,1
1812,23.10099983215332,1
1813,23.10099983215332,1
1814,23.10099983215332,1
1815,23.10099983215332,1
1823,21.743999481201172,1
1824,23.10099983215332,1
1825,23.10099983215332,1
1826,23.10099983215332,1
1827,23.10099983215332,1
1828,23.10099983215332,1
1829,21.743999481201172,1
1835,20.111000061035156,1
1836,23.10099983215332,1
1837,23.10099983215332,1
1838,23.10099983215332,1
1839,23.10099983215332,1
1840,23.10099983215332,1
1841,23.10099983215332,1
1842,23.10099983215332,1
1849,20.111000061035156,1
1850,23.10099983215332,1
1851,23.10099983215332,1
1852,23.10099983215332,1
1853,23.10099983215332,1
1854,23.10099983215332,1
1862,20.111000061035156,1
1863,23.10099983215332,1
1864,23.10099983215332,1
1865,23.10099983215332,1
1866,23.10099983215332,1
1867,23.10099983215332,1
1877,20.111000061035156,1
1878,23.10099983215332,1
1880,20.108999252319336,1
1993,21.743999481201172,1
1994,21.743999481201172,1
1995,21.743999481201172,1
1996,21.743999481201172,1
1997,21.743999481201172,1
2005,20.111000061035156,1
2006,23.10099983215332,1
2007,23.10099983215332,1
2008,23.10099983215332,1
2009,23.10099983215332,1
2010,23.10099983215332,1
2018,20.111000061035156,1
2019,23.10099983215332,1
2020,23.10099983215332,1
2021,23.10099983215332,1
