,scores,cavity
958,16.284000396728516,1
977,16.547000885009766,1
978,16.31800079345703,1
1337,16.284000396728516,1
1338,16.284000396728516,1
1339,16.284000396728516,1
1358,16.547000885009766,1
1359,16.31800079345703,1
1375,17.275999069213867,1
1376,18.15399932861328,1
1395,19.365999221801758,1
1396,19.070999145507812,1
1515,17.393999099731445,1
1516,17.0,1
1534,17.393999099731445,1
1535,17.393999099731445,1
1553,17.393999099731445,1
1554,17.393999099731445,1
1571,17.393999099731445,1
1572,17.393999099731445,1
1573,17.393999099731445,1
1589,17.393999099731445,1
1590,17.393999099731445,1
1591,17.393999099731445,1
1754,17.275999069213867,1
1755,18.15399932861328,1
1756,18.15399932861328,1
1757,18.15399932861328,1
1758,16.284000396728516,1
1772,17.275999069213867,1
1773,18.15399932861328,1
1774,19.365999221801758,1
1775,19.365999221801758,1
1776,19.365999221801758,1
1777,19.070999145507812,1
1792,19.365999221801758,1
1793,19.365999221801758,1
1794,19.365999221801758,1
1795,20.625,1
1796,19.365999221801758,1
1797,19.070999145507812,1
1811,19.365999221801758,1
1812,19.365999221801758,1
1813,19.365999221801758,1
1814,19.374000549316406,1
1815,19.365999221801758,1
1816,19.070999145507812,1
1830,19.365999221801758,1
1831,19.365999221801758,1
1832,19.365999221801758,1
1833,19.365999221801758,1
1834,19.365999221801758,1
1835,19.070999145507812,1
1850,19.365999221801758,1
1851,19.365999221801758,1
1852,19.365999221801758,1
1853,19.070999145507812,1
1934,17.393999099731445,1
1953,17.393999099731445,1
1960,16.679000854492188,1
1972,17.393999099731445,1
1980,32.18000030517578,1
1990,17.393999099731445,1
1991,17.393999099731445,1
2007,17.393999099731445,1
2008,17.393999099731445,1
2009,17.393999099731445,1
2010,17.393999099731445,1
2155,16.874000549316406,1
2156,16.874000549316406,1
2157,16.874000549316406,1
2171,17.275999069213867,1
2172,18.15399932861328,1
2173,18.15399932861328,1
2174,20.625,1
2175,20.625,1
2176,20.625,1
2177,16.874000549316406,1
2190,17.63800048828125,1
2191,19.365999221801758,1
2192,20.625,1
2193,20.625,1
2194,20.625,1
2195,20.625,1
2196,20.625,1
2209,17.63800048828125,1
2210,19.365999221801758,1
2211,20.625,1
2212,20.625,1
2213,20.625,1
2214,20.625,1
2215,20.625,1
2228,17.63800048828125,1
2229,19.365999221801758,1
2230,20.625,1
2231,20.625,1
2232,20.625,1
2233,20.625,1
2234,20.625,1
2248,19.365999221801758,1
2249,19.374000549316406,1
2250,20.625,1
2251,20.625,1
2252,20.625,1
2253,19.374000549316406,1
2267,19.365999221801758,1
2268,19.365999221801758,1
2269,19.374000549316406,1
2270,19.374000549316406,1
2271,19.374000549316406,1
2272,19.070999145507812,1
2341,33.358001708984375,1
2360,33.358001708984375,1
2361,33.358001708984375,1
