,scores,cavity
184,19.447999954223633,1
246,19.447999954223633,1
247,19.447999954223633,1
248,19.447999954223633,1
255,19.447999954223633,1
256,19.447999954223633,1
257,19.447999954223633,1
264,19.447999954223633,1
265,19.447999954223633,1
266,19.447999954223633,1
310,19.447999954223633,1
318,19.447999954223633,1
319,19.447999954223633,1
320,19.447999954223633,1
326,19.447999954223633,1
327,19.447999954223633,1
328,19.447999954223633,1
329,19.447999954223633,1
330,19.447999954223633,1
336,19.447999954223633,1
337,19.447999954223633,1
338,19.447999954223633,1
390,19.447999954223633,1
391,19.447999954223633,1
392,19.447999954223633,1
399,19.447999954223633,1
400,19.447999954223633,1
401,19.447999954223633,1
408,19.13800048828125,1
409,19.447999954223633,1
410,19.447999954223633,1
472,19.447999954223633,1
836,33.04199981689453,1
843,33.04199981689453,1
844,33.04199981689453,1
851,33.04199981689453,1
852,33.04199981689453,1
859,33.04199981689453,1
860,33.04199981689453,1
868,33.04199981689453,1
908,31.738000869750977,1
915,33.04199981689453,1
916,33.04199981689453,1
923,33.04199981689453,1
924,33.04199981689453,1
931,33.04199981689453,1
932,33.04199981689453,1
939,33.04199981689453,1
940,33.04199981689453,1
947,33.04199981689453,1
948,33.04199981689453,1
988,31.738000869750977,1
995,33.04199981689453,1
996,33.04199981689453,1
1003,33.04199981689453,1
1004,33.04199981689453,1
1010,33.04199981689453,1
1011,33.04199981689453,1
1012,33.04199981689453,1
1019,33.04199981689453,1
1020,33.04199981689453,1
1027,33.04199981689453,1
1028,33.04199981689453,1
1068,31.738000869750977,1
1075,33.04199981689453,1
1076,33.04199981689453,1
1083,33.04199981689453,1
1084,33.04199981689453,1
1091,33.04199981689453,1
1092,33.04199981689453,1
1099,33.04199981689453,1
1100,33.04199981689453,1
1107,33.04199981689453,1
1108,33.04199981689453,1
1156,33.04199981689453,1
1163,33.04199981689453,1
1164,33.04199981689453,1
1171,33.04199981689453,1
1172,33.04199981689453,1
1179,33.04199981689453,1
1180,33.04199981689453,1
1188,33.04199981689453,1
